PT1 [Psi],PT2 [Psi],PT3 [Psi]
-0.049059015,-0.043511321,-0.026614425
-0.035606765,-0.04293117,-0.015881632
-0.045396812,-0.037999887,-0.016207967
-0.031545708,-0.034083868,-0.025164047
-0.041408274,-0.045469331,-0.009935085
-0.037927368,-0.037891109,-0.011022868
-0.043257505,-0.038833854,-0.026759463
-0.048188788,-0.040284232,-0.020921694
1.052937716,-0.042423538,-0.012255689
2.462958343,-0.035788062,-0.012110651
3.587943556,-0.037709812,-0.013307212
4.405339986,-0.038652557,-0.012944618
5.277234347,-0.036476991,-0.01733201
6.143037122,-0.047282302,-0.022335812
7.105833885,-0.047246043,-0.021900698
7.943390561,-0.040175453,-0.022807184
8.979975272,-0.043221246,-0.014249958
9.795522471,-0.015156444,-0.007215627
10.63576235,-0.002320604,0.013125915
11.43753096,-0.001885491,0.015917892
12.11645261,0.001341599,0.028391137
12.76538771,0.013706066,0.033721274
13.25318588,0.002320604,0.034446463
13.87068405,0.004351132,0.041915906
14.38259474,0.005438915,0.480763841
14.84979756,-0.001667934,1.707166692
15.24437272,0.006345401,2.604007543
15.59072284,0.009898826,3.640410958
15.87913038,0.321729962,4.573910097
16.11351136,1.600999068,5.407514495
16.39042467,2.680659988,5.807999948
16.72774618,3.804339861,6.113775759
17.020106,4.696430726,6.325059483
17.28313194,5.544176303,6.565713349
17.49147865,6.152101981,6.7586498
17.66813462,6.436230909,6.920656953
17.79246822,6.616077704,7.067761478
18.06057047,6.821088546,7.240392646
18.30416136,6.95992592,7.409941761
18.58760135,7.187381353,7.598345782
18.8087839,7.369258676,7.744543822
19.05132326,7.511758253,7.894404065
19.17014543,7.634822774,7.982478231
19.29857634,7.750635407,8.0819016
19.50452993,7.920075744,8.189882196
19.77778103,8.075991312,8.328248198
19.96585872,8.191187535,8.432965444
20.20488091,8.306202461,8.550917384
20.39890514,8.426692562,8.681487608
20.52468912,8.524121662,8.772353751
20.64053801,8.590403909,8.821920397
20.86940756,8.683880731,8.907383884
21.13598692,8.836569209,8.989366466
21.37196332,8.972795904,9.093757377
21.5940161,9.03334916,9.207321926
21.76791635,9.009200376,9.303953319
21.93837195,9.02500949,9.394819461
22.05280672,9.061123886,9.461935675
22.30618765,9.170953713,9.537355298
22.55833576,9.314033442,9.631267233
22.77349924,9.44558267,9.728116183
23.00175238,9.560525077,9.811730439
23.20172316,9.677352975,9.90585993
23.33584681,9.744396669,9.978415059
23.48179104,9.812818222,10.05735185
23.70431518,9.901218723,10.1132639
24.00167881,10.05267438,10.25188371
24.19932898,10.18396979,10.35409906
24.41260698,10.29195039,10.44975145
24.59346904,10.36805894,10.54591147
24.77099523,10.44155681,10.62735016
24.92375622,10.4985929,10.68351602
25.12956477,10.62064216,10.77887833
25.34509085,10.70519916,10.8682941
25.62860337,10.85491437,10.95702093
25.82498447,10.93577291,11.04284702
26.01708695,11.0218528,11.12142121
26.17256741,11.08197095,11.18494774
26.31510324,11.13008722,11.23944567
26.51351487,11.21297628,11.31856376
26.81483077,11.39231544,11.44862635
27.05222128,11.49572735,11.53731692
27.22053758,11.56454776,11.61059724
27.4074187,11.63565251,11.6925073
27.52471797,11.69232601,11.76100137
27.64219854,11.76295938,11.81372259
27.86664444,11.82920537,11.89316701
28.12528299,11.96467062,11.99773922
28.37275363,12.06500047,12.11072362
28.58973008,12.15514143,12.23371562
28.77545091,12.2234542,12.31366767
28.95504388,12.30057802,12.37926099
29.07593284,12.35290038,12.43321503
29.33322979,12.44532568,12.51962126
29.57685693,12.56817264,12.61393205
29.79974367,12.68307879,12.72245654
30.01697394,12.75012249,12.83018332
30.23017942,12.83196003,12.90817736
30.34784128,12.89624801,12.95629363
30.47529319,12.96437948,13.0171007
30.70068184,13.02554915,13.07700129
30.95609329,13.17609832,13.18403914
31.16697816,13.2765007,13.28389762
31.39635535,13.36892599,13.37092026
31.59534712,13.43850785,13.44710133
31.76058136,13.4952176,13.54743119
31.85380437,13.54761249,13.60947108
32.10696774,13.62712943,13.70229523
32.33801286,13.75501645,13.80617851
32.5712698,13.87539777,13.92677739
32.80017561,13.95117999,14.02551183
33.00652805,14.01670079,14.11982262
33.13285592,14.08660898,14.17109346
33.26164943,14.14197714,14.22076889
33.47710299,14.22776696,14.28407786
33.76050673,14.35793833,14.38085429
34.00282853,14.45427964,14.48248948
34.24297476,14.55065722,14.57933843
34.42757155,14.61719328,14.65718744
