SG1 [strain],SG2 [strain],SG3 [strain]
-0.016981738,-0.001385498,0.484552319
0.18214423,0.0176651,0.679308075
-0.049738391,-0.070660402,0.640356924
0.040773412,-0.104431917,0.546874161
0.243347449,0.066157533,0.54600858
0.234727277,-0.12261658,0.441273263
0.090770409,0.013335419,0.743361079
0.236451312,-0.043816377,0.631701112
0.125251096,-0.014374543,0.550336486
0.289896377,0.043643189,0.539949512
0.274380068,-0.025631714,0.542546255
0.656253677,-0.185829929,0.533024863
3.876749851,-1.373894527,-0.559338529
13.30721777,-5.306977185,-3.32054235
21.35673417,-8.886757833,-5.495747742
33.21722851,-14.31011686,-8.612705409
42.19341338,-17.63271442,-13.40542815
51.11270511,-22.15723157,-16.38043051
59.16135949,-25.95089848,-19.12432271
66.68332138,-29.66489926,-21.43196202
73.45791438,-33.07409046,-23.43491676
78.5826065,-35.377481,-24.91246376
84.75378747,-38.37275465,-26.68863625
89.93882079,-40.86145557,-28.31160088
94.98937943,-42.12832037,-30.3387919
96.65479662,-37.7821861,-33.26185939
96.53066614,-28.18847787,-37.59322739
95.1988496,-18.16439931,-41.24597978
93.3920616,-8.460717175,-43.94918966
93.53601847,-4.100727924,-45.33931297
94.51268393,-1.474343138,-46.67923256
95.87208502,0.05749817,-47.54048579
97.2961374,1.152907585,-48.40087344
98.28745715,2.437091112,-48.92368445
98.95465845,3.299563663,-49.18855227
99.76495459,4.101420673,-49.58066053
100.9252297,4.790705965,-50.01518226
102.0501621,5.354430494,-50.72322762
103.3087072,5.928546258,-51.41049905
104.5801825,6.264529541,-51.98870724
105.9809605,6.599646887,-52.41024526
106.7895326,6.560679754,-52.69502145
107.7558538,6.88194212,-52.72791353
108.616147,6.875880566,-52.90881999
110.075542,6.872416821,-52.98066322
111.2901243,6.866355267,-53.55194677
112.4857421,6.806605662,-53.72419742
113.6727397,6.756381357,-53.74064346
114.5864779,6.797080363,-53.82114251
115.2148885,6.612635932,-53.84278204
116.2553432,6.255870178,-53.79171275
117.7871477,5.860137291,-53.91462527
119.1793055,5.556193651,-54.20026704
120.6050819,5.305072125,-54.44695767
121.7705291,5.376078901,-55.07190725
123.3023336,5.193366343,-55.55922943
124.1350422,5.065207771,-56.15128692
125.4159997,4.959563543,-56.6663077
126.7960892,4.685927673,-57.00821225
127.8624045,4.058123858,-56.46289613
129.0140594,3.516913673,-56.3451771
130.2122633,3.152354492,-56.34777384
131.2337537,2.889975795,-56.49578821
132.0466359,2.587764027,-56.38845615
133.1345015,2.251780744,-56.46462729
134.661134,1.82487415,-56.62302864
135.96709,1.357268551,-56.52521797
137.2308072,0.89226076,-56.39364964
138.1540276,0.568400585,-56.57022819
139.2634437,0.422057351,-56.51223426
140.1401151,-0.139069369,-56.55637889
141.2090164,-0.497566996,-56.5191589
142.289124,-0.798912827,-56.55464773
143.5873218,-1.288166834,-56.68535048
144.6760495,-1.772225224,-56.51829332
145.9802815,-2.124661296,-56.66024863
146.9216043,-2.563690998,-56.69487188
147.7000058,-2.777577264,-56.81691882
148.7361504,-2.992329465,-56.86279462
150.170547,-3.488510963,-56.8498109
151.3601307,-3.90069664,-56.88097182
152.4083436,-4.202042471,-56.69400629
153.5651707,-4.677441497,-57.0791899
154.3642606,-4.981385137,-57.06793734
155.1685226,-5.237702281,-57.11727547
156.2081153,-5.259350688,-57.3726219
157.4166634,-5.720028798,-57.27740798
158.4734965,-5.966820642,-57.36050377
160.055298,-6.32272046,-57.67903763
