PT1 [Psi],PT2 [Psi],PT3 [Psi]
0,0,0
-0.0344464627107666,-0.0439826939664841,-0.0368758448177365
-0.0579425762229527,-0.0465571138111835,-0.0213205474462429
-0.0414807929906495,-0.0468471892866426,-0.0149026275517106
-0.0345552410140638,-0.0467384109833454,-0.0428223920646478
-0.0514521374595556,-0.0422422411137296,-0.0211755097085134
-0.0393052269247063,-0.0407193448675694,-0.0196163540279208
-0.0409369014741637,-0.0466658921144807,-0.022734665389106
-0.0353892080060087,-0.0424960571547563,-0.0317632645627701
-0.0357155429159001,-0.0465571138111835,-0.0208491747986219
-0.0507632082053403,-0.0461220005979949,-0.0318357834316348
-0.0445265854829699,-0.0400666750477864,-0.0337575334565513
-0.0378548495474109,-0.0497842034756659,-0.0354617268748734
-0.0341563872353075,-0.0402842316543808,-0.0403930099576779
-0.0356792834814677,-0.0421334628104324,-0.0252003069305082
-0.0572536469687374,-0.0431849864089716,-0.0290438069803411
-0.0380724061540052,-0.0451429958683205,-0.0485876421393971
-0.0569273120588459,-0.0509445053775022,-0.0251277880616434
-0.0415170524250819,-0.047826194016317,-0.0336124957188217
-0.0426773543269182,-0.0506544299020431,-0.0172594907898157
-0.0576162413130612,-0.0484063449672352,-0.0292613635869354
-0.0453968119093472,-0.0510532836807994,-0.045759406253671
-0.0496029063035039,-0.0486239015738295,-0.0238587078565099
-0.0430036892368097,-0.0511620619840965,-0.0418796467694057
-0.0510895431152318,-0.0433300241467012,-0.025744198446994
-0.0484063449672352,-0.0429674298023773,-0.0338663117598484
-0.038616297670491,-0.03814492502287,-0.041625830728379
-0.0354617268748734,-0.051488396893988,-0.0306392220953661
-0.0514158780251232,-0.0410456797774609,-0.0411181986463256
-0.0288987692426116,-0.0454330713437796,-0.0422059816792972
-0.0329235664646064,-0.0460857411635625,-0.0456868873848063
-0.043692618491025,-0.0461945194668597,-0.0395227835313006
-0.054026557304255,-0.0522861044515005,-0.0244751182418605
-0.0393777457935711,-0.0455418496470767,-0.0416620901628114
-0.0364769910389802,-0.0518147318038795,-0.0293701418902326
-0.0381811844573024,-0.0480800100573437,-0.0267232031766684
-0.0530112931401482,-0.0450342175650233,-0.0274483918653161
-0.0421697222448648,-0.0490952742214505,-0.0368758448177365
-0.037673552375249,-0.0452155147371852,-0.0212117691429458
-0.0397040807034626,-0.0484788638361,-0.0449979581305909
-0.040211712785516,-0.0515971751972852,-0.0368758448177365
-0.0379998872851404,-0.0430399486712421,-0.0245476371107253
-0.0333224202433627,-0.0473910808031284,-0.0265419060045065
-0.0529387742712834,-0.0486239015738295,-0.0437651373598898
-0.0451429958683205,-0.0413720146873523,-0.0201602455444066
-0.0334311985466598,-0.049421609131342,-0.039740340137895
-0.0371296608587632,-0.0528299959679863,-0.029406401324665
-0.0383987410638967,-0.046883448721075,-0.0369483636866012
-0.0417708684661086,-0.044163991138646,-0.0359693589569268
-0.0355705051781706,-0.0497479440412335,-0.0311468541774195
-0.0384712599327615,-0.0288987692426116,-0.0217556606594316
-0.0271945758242894,-0.0471735241965341,-0.0307117409642309
-0.0348815759239553,-0.055150599771659,-0.0195800945934884
-0.0502555761232869,-0.0431849864089716,-0.0248739720206167
-0.0435475807532955,-0.0416983495972438,-0.0369121042521689
-0.0360056183913592,-0.039087670318112,-0.0264331277012093
-0.0421697222448648,-0.0511620619840965,-0.0442365100075108
-0.0378548495474109,-0.0493128308280448,-0.0327785287268769
-0.0409369014741637,-0.0518147318038795,-0.0164255237978708
-0.0440189534009165,-0.0497842034756659,-0.03814492502287
-0.0540990761731198,-0.0488777176148562,-0.0251277880616434
