F1 [lbf],F2 [lbf],F3 [lbf]
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
3.66666666666667,12.6666666666667,12.6666666666667
3.66666666666667,12.6666666666667,12.6666666666667
3.66666666666667,12.6666666666667,12.6666666666667
3.66666666666667,12.6666666666667,12.6666666666667
3.66666666666667,12.6666666666667,12.6666666666667
3.66666666666667,12.6666666666667,12.6666666666667
3.66666666666667,12.6666666666667,12.6666666666667
7.33333333333333,25.3333333333333,25.3333333333333
7.33333333333333,25.3333333333333,25.3333333333333
7.33333333333333,25.3333333333333,25.3333333333333
7.33333333333333,25.3333333333333,25.3333333333333
7.33333333333333,25.3333333333333,25.3333333333333
7.33333333333333,25.3333333333333,25.3333333333333
7.33333333333333,25.3333333333333,25.3333333333333
7.33333333333333,25.3333333333333,25.3333333333333
11,38,38
11,38,38
11,38,38
11,38,38
11,38,38
11,38,38
11,38,38
14.6666666666667,50.6666666666667,50.6666666666667
14.6666666666667,50.6666666666667,50.6666666666667
14.6666666666667,50.6666666666667,50.6666666666667
14.6666666666667,50.6666666666667,50.6666666666667
14.6666666666667,50.6666666666667,50.6666666666667
14.6666666666667,50.6666666666667,50.6666666666667
14.6666666666667,50.6666666666667,50.6666666666667
14.6666666666667,50.6666666666667,50.6666666666667
18.3333333333333,63.3333333333333,63.3333333333333
18.3333333333333,63.3333333333333,63.3333333333333
18.3333333333333,63.3333333333333,63.3333333333333
18.3333333333333,63.3333333333333,63.3333333333333
18.3333333333333,63.3333333333333,63.3333333333333
18.3333333333333,63.3333333333333,63.3333333333333
18.3333333333333,63.3333333333333,63.3333333333333
22,76,76
22,76,76
22,76,76
22,76,76
22,76,76
22,76,76
22,76,76
25.6666666666667,88.6666666666667,88.6666666666667
25.6666666666667,88.6666666666667,88.6666666666667
25.6666666666667,88.6666666666667,88.6666666666667
25.6666666666667,88.6666666666667,88.6666666666667
25.6666666666667,88.6666666666667,88.6666666666667
25.6666666666667,88.6666666666667,88.6666666666667
25.6666666666667,88.6666666666667,88.6666666666667
