PT1 [Psi],PT2 [Psi],PT3 [Psi]
0,0,0
-0.0445991043518347,-0.039559042965733,-0.0423872788514591
-0.0638528640354316,-0.0472823024998312,-0.0460494817291301
-0.0500017600822602,-0.05881280264933,-0.0535914440910664
-0.0655570574537537,-0.05562197241928,-0.0476086374097227
-0.0692192603314247,-0.0519960289760414,-0.0427136137613506
-0.0571448686654402,-0.0487326798771267,-0.0340838683664428
-0.0483338260983704,-0.0518147318038795,-0.040030415613354
-0.0478987128851818,-0.0520322884104738,-0.0469559675899398
-0.0457231468192386,-0.0525761799269596,-0.0463758166390216
-0.0502918355577193,-0.061169665887435,-0.046883448721075
-0.0452155147371852,-0.0577975384852231,-0.0466658921144807
-0.0534826657877692,-0.0492040525247477,-0.0531200714434454
-0.039559042965733,-0.0502555761232869,-0.0440914722697813
-0.0476086374097227,-0.0522498450170681,-0.0448529203928614
-0.053555184656634,-0.0408643826052989,-0.0438013967943222
-0.0682402556017503,-0.0584864677394385,-0.0403567505232455
-0.0538815195665255,-0.0500380195166926,-0.0481887883606409
-0.0423147599825944,-0.0453242930404824,-0.0435113213188631
-0.043692618491025,-0.0551143403372266,-0.0511983214185289
-0.0677326235196969,-0.0557670101570095,-0.0473910808031284
-0.0655933168881861,-0.0583776894361413,-0.0436200996221603
-0.0440914722697813,-0.0496391657379363,-0.0439464345320517
-0.0376010335063842,-0.0594292130346805,-0.0359693589569268
-0.0484063449672352,-0.056746014886684,-0.0436200996221603
-0.0577612790507908,-0.0547880054273351,-0.0379636278507081
-0.0657020951914833,-0.0586677649116004,-0.0506906893364755
-0.0492765713936125,-0.0520322884104738,-0.0343739438419019
-0.0417708684661086,-0.0555494535504152,-0.0371659202931956
-0.0465571138111835,-0.0620036328793799,-0.0346640193173609
-0.0663910244456986,-0.0566734960178192,-0.0497479440412335
-0.0449254392617261,-0.0569635714932783,-0.0484063449672352
-0.0508719865086374,-0.0540628167386874,-0.0533376280500397
-0.0702707839299639,-0.0526849582302567,-0.0294789201935297
-0.0487689393115591,-0.0598643262478691,-0.0366582882111422
-0.0697631518479105,-0.0517784723694471,-0.0496754251723687
-0.0454330713437796,-0.0542441139108493,-0.044816660958429
-0.0511258025496641,-0.0526849582302567,-0.0447078826551318
-0.0526849582302567,-0.0568547931899811,-0.0461945194668597
-0.0480800100573437,-0.0571086092310078,-0.0519235101071766
-0.06276508100246,-0.0498567223445306,-0.0500017600822602
-0.0708146754464497,-0.0377098118096814,-0.0277747267752076
-0.0526849582302567,-0.0526486987958244,-0.0383624816294643
-0.0555131941159828,-0.048950236483721,-0.0389788920148149
-0.0476086374097227,-0.0593929536002481,-0.0477536751474522
-0.0451067364338881,-0.056093345066901,-0.050364354426584
-0.0538090006976607,-0.0399216373100569,-0.0313644107840138
-0.0540990761731198,-0.054679227124038,-0.0454693307782119
-0.0538090006976607,-0.0397040807034626,-0.0438013967943222
-0.0480800100573437,-0.0547880054273351,-0.0386525571049234
-0.054026557304255,-0.0559845667636039,-0.0482250477950733
-0.0484426044016676,-0.0563834205423601,-0.05243114218923
-0.0519235101071766,-0.0326697504235797,-0.0491315336558829
-0.0672975103065083,-0.0529387742712834,-0.0431124675401068
-0.0428223920646478,-0.0606257743709493,-0.0304579249232042
-0.046412076073454,-0.0526849582302567,-0.0458319251225358
-0.0590666186903567,-0.0537002223943635,-0.0523948827547976
-0.0649043876339708,-0.0568547931899811,-0.0415533118595143
-0.0475723779752903,-0.0586677649116004,-0.0383624816294643
-0.0629101187401896,-0.0610608875841379,-0.0537727412632283
-0.0513433591562585,-0.0333224202433627,-0.0418796467694057
-0.0547517459929027,-0.0590303592559243,-0.0405380476954075
-0.0541353356075522,-0.0360056183913592,-0.0532288497467425
-0.0625837838302981,-0.0518147318038795,-0.0465208543767511
