PT1 [Psi],PT2 [Psi],PT3 [Psi]
0,0,0
-0.0490227553525858,-0.037492255203087,-0.0189636842081378
-0.064831868765106,-0.0361143966946564,-0.0188549059048407
-0.0596105102068424,-0.0379636278507081,-0.0217919200938639
-0.0580513545262498,-0.0352804297027115,-0.0154465190681964
-0.056746014886684,-0.0263606088323446,-0.03814492502287
-0.0495303874346392,-0.0238587078565099,-0.0206316181920276
-0.0605169960676521,-0.0340476089320104,-0.035425467440441
-0.0626925621335953,-0.0338663117598484,-0.017948420044031
-0.0674062886098054,-0.0305667032265013,-0.0436200996221603
-0.0483700855328028,-0.0336487551532541,-0.0386888165393558
-0.0674062886098054,-0.0408281231708665,-0.0236048918154832
-0.0531200714434454,-0.0383987410638967,-0.01747704739641
-0.0587402837804652,-0.0314369296528786,-0.0146488115106839
-0.070089486757802,-0.0329598258990388,-0.0393052269247063
-0.0626925621335953,-0.0382537033261671,-0.0295876984968269
-0.0533376280500397,-0.0101163822066357,-0.0241850427664014
-0.0624750055270009,-0.0275571701686133,-0.0209579531019191
-0.0514158780251232,-0.0172957502242481,-0.0352079108338467
-0.064831868765106,-0.0424597977203239,-0.022263292741485
-0.0466658921144807,-0.0317995239972024,-0.0240037455942395
-0.0628013404368924,-0.0164980426667356,-0.0329598258990388
-0.0457956656881034,-0.0261793116601826,-0.0399941561789217
-0.0645417932896469,-0.0380361467195728,-0.0261430522257502
-0.0504006138610164,-0.0193262785524617,-0.0404655288265427
-0.0637440857321344,-0.0284273965949906,-0.0224445899136469
-0.049892981778963,-0.0354979863093058,-0.0205228398887304
-0.0552593780749561,-0.0298415145378536,-0.0298052551034212
-0.0477536751474522,-0.0413357552529199,-0.0259617550535883
-0.0577250196163584,-0.0258529767502912,-0.0385800382360586
-0.0484426044016676,-0.0296239579312593,-0.0170419341832214
-0.0525399204925272,-0.0224808493480793,-0.0351716513994143
-0.0555857129848476,-0.0228071842579707,-0.0242938210696986
-0.0482250477950733,-0.0167881181421947,-0.0276659484719105
-0.0389063731459501,-0.0232422974711594,-0.0241125238975366
-0.0511983214185289,-0.0215018446184048,-0.0280648022506667
-0.0543891516485789,-0.0301315900133127,-0.0222995521759173
-0.0483700855328028,-0.0311105947429871,-0.0208491747986219
-0.0567822743211163,-0.0277022079063428,-0.0261793116601826
-0.0547517459929027,-0.0445628449174023,-0.0230972597334298
-0.0646143121585117,-0.0327785287268769,-0.0233510757744565
-0.0518509912383119,-0.0336487551532541,-0.0193987974213265
-0.0519235101071766,-0.0285361748982877,-0.0285361748982877
-0.042278500548162,-0.0382174438917348,-0.0361506561290888
-0.0555131941159828,-0.0321258589070939,-0.0147938492484135
-0.0430036892368097,-0.0236411512499156,-0.0211029908396486
-0.0514158780251232,-0.0367308070800069,-0.0216468823561344
-0.0490227553525858,-0.0427861326302154,-0.0208491747986219
-0.0692555197658571,-0.0249827503239139,-0.0347002787517933
-0.05562197241928,-0.0239674861598071,-0.0244025993729957
-0.049892981778963,-0.022553368216944,-0.0295514390623945
-0.0523223638859329,-0.021610622921702,-0.0107690520264186
-0.0546429676896056,-0.033068604202336,-0.0263606088323446
-0.0545341893863084,-0.0222270333070526,-0.0187823870359759
-0.0500017600822602,-0.0417708684661086,-0.0216831417905668
-0.051488396893988,-0.0392327080558416,-0.0343014249730371
-0.0568185337555487,-0.018601089863814,-0.0277384673407752
-0.053555184656634,-0.0212842880118105,-0.0259254956191559
-0.0616772979694884,-0.0134522501744152,-0.0207766559297571
-0.0525761799269596,-0.0426048354580534,-0.0299140334067184
-0.0446353637862671,-0.0430399486712421,-0.0271945758242894
-0.0487326798771267,-0.0472460430653988,-0.0282098399883962
-0.053555184656634,-0.030349146619907,-0.0221182550037554
-0.0502193166888545,-0.0290800664147735,-0.0201602455444066
-0.053555184656634,-0.0382537033261671,-0.00906485860809648
-0.0563471611079277,-0.0463032977701568,-0.0270495380865599
-0.0536277035254988,-0.0223720710447821,-0.0109503491985805
-0.0519235101071766,-0.0379273684162757,-0.0250552691927787
-0.0518147318038795,-0.0154465190681964,-0.0291163258492059
-0.0548242648617675,-0.0405380476954075,-0.016534302101168
-0.0583051705672765,-0.035606764612603,-0.0214293257495401
-0.0494578685657744,-0.0463032977701568,-0.0230972597334298
-0.0509807648119346,-0.0434388024499983,-0.0218281795282963
-0.0474998591064255,-0.0267957220455332,-0.0255629012748321
-0.0557307507225772,-0.0415533118595143,-0.025272825799373
-0.0509807648119346,-0.0471372647621017,-0.0249827503239139
-0.0636353074288373,-0.0426048354580534,-0.0384350004983291
-0.0548605242961999,-0.0353892080060087,-0.0234598540777537
-0.0455781090815091,-0.0301315900133127,-0.0215381040528372
-0.054497929951876,-0.0357155429159001,-0.0320533400382291
-0.0519235101071766,-0.0416620901628114,-0.0124369860103084
-0.0490227553525858,-0.022263292741485,-0.0267594626111008
-0.0548967837306323,-0.043692618491025,-0.0215743634872696
-0.0451429958683205,-0.0321983777759587,-0.00960875012458227
-0.0513796185906908,-0.03495409479282,-0.0195075757246236
-0.0523223638859329,-0.0399941561789217,-0.0084847076571783
-0.0495303874346392,-0.0458319251225358,-0.0127995803546322
-0.0487326798771267,-0.0432575052778364,-0.0196163540279208
-0.0517784723694471,-0.0252003069305082,-0.00717936801761241
-0.0563471611079277,-0.0211755097085134,-0.0100438633377709
