PT1 [Psi],PT2 [Psi],PT3 [Psi]
0,0,0
-0.0426773543269182,-0.0453605524749148,-0.0427861326302154
-0.0510532836807994,-0.0471010053276693,-0.0176583445685719
-0.0420246845071353,-0.0534101469189045,-0.020196504978839
-0.0386888165393558,-0.0517422129350147,-0.0387250759737882
-0.0399578967444893,-0.0440189534009165,-0.0237136701187804
-0.0348815759239553,-0.0409369014741637,-0.0186373492982464
-0.0465571138111835,-0.0517422129350147,-0.0233873352088889
-0.0428586514990801,-0.0453968119093472,-0.0194350568557589
-0.0438376562287546,-0.0424597977203239,-0.0347002787517933
-0.0438376562287546,-0.0496391657379363,-0.0157003351092231
-0.0364407316045478,-0.0521048072793386,-0.0492765713936125
-0.043873915663187,-0.0450704769994557,-0.0182747549539225
-0.0399941561789217,-0.0533013686156073,-0.0250190097583463
-0.0420246845071353,-0.0487326798771267,-0.0263243493979122
-0.0472097836309665,-0.0316907456939053,-0.02066787762646
-0.0368758448177365,-0.043221245843404,-0.0215381040528372
-0.045940703425833,-0.0420246845071353,-0.0380724061540052
-0.0411907175151904,-0.0483338260983704,-0.0427861326302154
-0.0482613072295057,-0.0324521938169854,-0.0283911371605582
-0.0435838401877279,-0.0496391657379363,-0.0082308916161516
-0.0510532836807994,-0.0435838401877279,-0.0196526134623532
-0.0406468259987046,-0.0416983495972438,-0.0252365663649406
-0.0466658921144807,-0.0423872788514591,-0.0350266136616848
-0.0363682127356831,-0.0544616705174436,-0.0443090288763756
-0.0430762081056745,-0.0305667032265013,-0.0242575616352662
-0.0445628449174023,-0.0479712317540466,-0.0260705333568855
-0.0344102032763342,-0.0457231468192386,-0.0220094767004583
-0.0447078826551318,-0.0505093921643136,-0.0386525571049234
-0.0464845949423187,-0.0319083023004996,-0.0430036892368097
-0.0473185619342636,-0.0313281513495814,-0.0300590711444479
-0.0386888165393558,-0.0278835050785048,-0.0428586514990801
-0.0460494817291301,-0.0431487269745392,-0.0399578967444893
-0.038616297670491,-0.0328510475957416,-0.0192537596835969
-0.0457956656881034,-0.0484426044016676,-0.0318357834316348
-0.0461220005979949,-0.0512345808529613,-0.0472460430653988
-0.0412994958184876,-0.0547154865584703,-0.0350266136616848
-0.0371659202931956,-0.0392689674902739,-0.028282358857261
-0.048950236483721,-0.046883448721075,-0.0332136419400655
-0.0453605524749148,-0.0456143685159415,-0.0306029626609337
-0.0347727976206581,-0.0351716513994143,-0.0329598258990388
-0.0461220005979949,-0.0498204629100982,-0.0267957220455332
-0.0412994958184876,-0.0466296326800483,-0.0246564154140224
-0.0532288497467425,-0.0386525571049234,-0.0217919200938639
-0.0366582882111422,-0.0458319251225358,-0.0284636560294229
-0.0467384109833454,-0.0290075475459087,-0.0239674861598071
-0.0384712599327615,-0.0544616705174436,-0.0310380758741223
-0.0415170524250819,-0.0381811844573024,-0.0267957220455332
-0.0509445053775022,-0.0514158780251232,-0.0315094485217434
-0.0475361185408579,-0.0291163258492059,-0.0408643826052989
-0.0423510194170268,-0.0381811844573024,-0.0272308352587218
-0.0478624534507494,-0.0481162694917761,-0.0178759011751663
-0.043221245843404,-0.0429311703679449,-0.0478987128851818
-0.0474998591064255,-0.0481887883606409,-0.0331048636367683
-0.0420246845071353,-0.0427136137613506,-0.0440914722697813
-0.0429674298023773,-0.0535189252222016,-0.0261430522257502
-0.0436563590565926,-0.0439101750976193,-0.0212480285773781
-0.0389426325803825,-0.0358243212191973,-0.0389063731459501
-0.0357518023503325,-0.0462670383357244,-0.0447804015239966
-0.0445265854829699,-0.0557670101570095,-0.0263606088323446
-0.0449616986961585,-0.0389426325803825,-0.0248377125861844
-0.0490590147870181,-0.0372746985964927,-0.0484788638361
-0.0387250759737882,-0.0325247126858502,-0.0417346090316762
-0.0453605524749148,-0.0347727976206581,-0.0399578967444893
-0.0459044439914006,-0.0149751464205754,-0.0468109298522102
-0.0434388024499983,-0.0452517741716176,-0.0457956656881034
-0.0432575052778364,-0.0430399486712421,-0.0278835050785048
-0.0398491184411921,-0.0490952742214505,-0.0359330995224944
-0.029225104152503,-0.0562021233701982,-0.0393052269247063
-0.0304941843576366,-0.0345915004484962,-0.0270495380865599
-0.0456143685159415,-0.0379636278507081,-0.0223720710447821
-0.0448529203928614,-0.0379636278507081,-0.0368033259488717
-0.0488051987459914,-0.0301315900133127,-0.0228797031268355
-0.0471010053276693,-0.049421609131342,-0.0183110143883549
-0.0253816041026701,-0.0349178353583876,-0.0309292975708252
-0.0411907175151904,-0.0329598258990388,-0.0297327362345564
-0.037492255203087,-0.0552231186405237,-0.0326334909891473
-0.039740340137895,-0.0383624816294643,-0.0423147599825944
-0.0187461276015435,-0.0399941561789217,-0.0306029626609337
-0.0391601891869768,-0.0449254392617261,-0.0474998591064255
-0.0285724343327201,-0.0358243212191973,-0.0390514108836796
0.365748915119477,-0.0526486987958244,-0.0281010616850991
1.7962923817804,-0.0283186182916934,-0.0320895994726615
3.28292919350822,-0.0481887883606409,-0.0331048636367683
4.08237720387347,-0.0469197081555074,-0.0332861608089303
4.95800628598115,-0.0361506561290888,-0.0325609721202825
5.9068069067734,-0.0528662554024187,-0.0304216654887718
6.82427937621606,-0.0475723779752903,-0.0496029063035039
7.70349814233255,-0.0349903542272524,-0.0298415145378536
8.60519775779712,-0.0446353637862671,-0.0302766277510422
9.49264741552977,-0.0402479722199484,-0.0336124957188217
10.2238914297277,-0.0406468259987046,-0.0342289061041723
10.391301238502,-0.00652669819782946,-0.0349178353583876
11.709984349939,0.0213568068806753,0.00108778303297158
12.4319096894878,0.0720837556515832,0.0415533118595143
13.2479282613887,0.0943107889586358,0.0745856566274178
13.9772867849961,0.120018727971197,0.109249675944779
14.5380751979274,0.108451968387266,0.123753449717733
14.9976272699235,0.102686718312517,0.14467514338522
15.3843341381449,0.0977554352297124,0.135646544211556
15.6763676230633,0.0903947700399381,0.148373605697323
15.9013211542818,0.0817650246450302,0.143406063180086
16.0705076753433,0.0666810999211577,0.159867846412389
16.3672186273035,0.0587402837804652,0.15957777093693
16.6693684944286,0.0531563308778778,0.163239973814601
16.957957333076,0.060698293239814,0.169041483323783
17.1638746612175,0.0353892080060087,0.17005674748789
17.3537290599055,0.037673552375249,0.149606426468024
17.5397399585436,0.0347727976206581,0.160919370010929
17.7111383051055,0.0248377125861844,0.170528120135511
17.8289452075763,0.00583776894361413,0.167047214430002
18.0169866345427,0.015881632281385,0.162043412478333
18.2407073449905,0.00358968400880621,0.141411794286305
18.4949947586648,0.0182747549539225,0.154646487854126
18.7239368276709,0.0132346935678209,0.146379336803542
18.9123045895471,0.0145762926418191,0.143659879221113
19.0660808509749,0.0134159907399828,0.160665553969902
19.2095231735894,0.0113129435429044,0.152289624616021
19.3220361986331,0.0164617832323032,0.155806789755962
19.5022455877621,0.0103701982476624,0.154428931247532
19.7563154448298,-0.0056564717714522,0.144131251868734
19.922963805481,0.0124732454447408,0.150512912328834
20.1156826994892,0.00804959444398967,0.233945870957754
20.2903806545844,0.00547517459929027,0.974218484329345
20.443721802799,0.00957249069014988,2.065446163572
20.5781717856743,-0.00145037737729544,2.82624161683232
20.7173717544602,0.733492099132735,3.55792074424344
20.8869571293004,1.82678656613803,4.09771494463836
21.1214106323403,2.90434443859968,4.65857587643851
21.3454939371324,3.60212099481651,4.93393002151805
21.5381403122717,4.16533878985476,5.11254399553198
21.7174432155398,4.52126139824306,5.20656470901516
21.8536336512679,4.84382532695357,5.28764080440597
21.9796714453548,5.06928649025414,5.34997077219524
22.0596234982782,5.27995380430631,5.39522254636686
22.238890142112,5.44453537719491,5.41422249000943
22.4997042539841,5.60389559152524,5.48456579280826
22.7178410115293,5.6235482049876,5.53721449160409
22.9599089957999,5.64940118173789,5.60908069064907
23.1227501158358,5.68935907848238,5.66959768671673
23.3000224907757,5.71579220618359,5.73461085265399
23.4409629124144,5.7331604752767,5.78294467875237
23.567472079149,5.74954973964014,5.83189491523609
23.7460860531629,5.80535300923158,5.88044629794105
24.002367735731,5.87917721773592,5.94368275159113
24.1948690731326,5.9526025724615,6.01101652133207
24.4017654060038,6.03342485181129,6.09187506011629
24.5899881301423,6.0955735224284,6.13545890030402
24.7656650899672,6.14310964096925,6.18081945277894
24.8736819451413,6.14767832970773,6.21287279281716
24.9898934324971,6.16588056579279,6.26305585007159
25.1750341047088,6.22099490613002,6.30464542136553
25.4308806740638,6.28611685037058,6.3634944834493
25.6453552287313,6.35029604931591,6.41327868692496
25.8412286935351,6.43637594665839,6.46284533379403
25.9929381672002,6.48133764535455,6.50494253717003
26.1225293858615,6.5010990371202,6.54732981602149
26.2418229251441,6.511396716499,6.5650244200245
26.3696736909527,6.53297107998627,6.6464268503252
26.547816292319,6.56194236809774,6.69334655848071
26.871431744628,6.64316350122629,6.78432147947157
27.0026183784044,6.69251259148877,6.79857143720349
27.2031693102499,6.77032533778067,6.85401211245061
27.3325067128702,6.82837669230692,6.8824395090456
27.4842887054042,6.88465133454598,6.911990948108
27.5782006405841,6.91917031612561,6.92355770769193
27.7944881669733,6.98262432638229,6.99498879352373
28.0039589196892,7.07483206814384,7.0331337185466
28.2691966825621,7.15141199366504,7.10710296478867
28.4494423311254,7.19800536691066,7.17171727694718
28.6479627346428,7.22994992864559,7.21388699919204
28.7972065667665,7.24945750437021,7.26936393387359
28.9628396632536,7.28727609448319,7.28676846240114
29.1762989537571,7.356023982167,7.37063653424325
29.4457065515897,7.44899317205163,7.42850659159734
