F1 [lbf],F2 [lbf],F3 [lbf]
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1.33333333333333,1.33333333333333,1.33333333333333
1.33333333333333,1.33333333333333,1.33333333333333
1.33333333333333,1.33333333333333,1.33333333333333
1.33333333333333,1.33333333333333,1.33333333333333
2.66666666666667,2.66666666666667,2.66666666666667
2.66666666666667,2.66666666666667,2.66666666666667
2.66666666666667,2.66666666666667,2.66666666666667
2.66666666666667,2.66666666666667,2.66666666666667
4,4,4
4,4,4
4,4,4
5.33333333333333,5.33333333333333,5.33333333333333
5.33333333333333,5.33333333333333,5.33333333333333
5.33333333333333,5.33333333333333,5.33333333333333
6.66666666666667,6.66666666666667,6.66666666666667
6.66666666666667,6.66666666666667,6.66666666666667
6.66666666666667,6.66666666666667,6.66666666666667
8,8,8
8,8,8
8,8,8
8,8,8
9.33333333333334,9.33333333333334,9.33333333333334
9.33333333333334,9.33333333333334,9.33333333333334
9.33333333333334,9.33333333333334,9.33333333333334
9.33333333333334,9.33333333333334,9.33333333333334
10.6666666666667,10.6666666666667,10.6666666666667
10.6666666666667,10.6666666666667,10.6666666666667
10.6666666666667,10.6666666666667,10.6666666666667
10.6666666666667,10.6666666666667,10.6666666666667
12,12,12
12,12,12
12,12,12
13.3333333333333,13.3333333333333,13.3333333333333
13.3333333333333,13.3333333333333,13.3333333333333
13.3333333333333,13.3333333333333,13.3333333333333
13.3333333333333,13.3333333333333,13.3333333333333
14.6666666666667,14.6666666666667,14.6666666666667
14.6666666666667,14.6666666666667,14.6666666666667
14.6666666666667,14.6666666666667,14.6666666666667
14.6666666666667,14.6666666666667,14.6666666666667
16,16,16
16,16,16
16,16,16
16,16,16
17.3333333333333,17.3333333333333,17.3333333333333
17.3333333333333,17.3333333333333,17.3333333333333
18.6666666666667,18.6666666666667,18.6666666666667
18.6666666666667,18.6666666666667,18.6666666666667
18.6666666666667,18.6666666666667,18.6666666666667
20,20,20
20,20,20
