PT1 [Psi],PT2 [Psi],PT3 [Psi]
0,0,0
-0.0624024866581362,-0.0393052269247063,-0.00413357552529199
-0.0675875857819673,-0.044816660958429,-0.0171869719209509
-0.0707058971431525,-0.0393414863591387,-0.0193625379868941
-0.0658471329292128,-0.0209216936674867,-0.0239674861598071
-0.0686753688149389,-0.02462015597959,-0.0142499577319277
-0.0636715668632697,-0.0421697222448648,-0.0401754533510836
-0.0699807084545048,-0.0449254392617261,-0.0231335191678622
-0.0869863832032938,-0.0341201278008751,-0.0203052832821361
-0.0676601046508321,-0.0427861326302154,-0.0194350568557589
-0.0713223075285031,-0.0430036892368097,-0.0203052832821361
-0.0730265009468252,-0.0259617550535883,-0.0327785287268769
-0.0662459867079691,-0.0313281513495814,-0.0166068209700327
-0.0626925621335953,-0.0434388024499983,-0.00804959444398967
-0.0884005011461569,-0.0265419060045065,-0.016534302101168
-0.0667173593555901,-0.0398128590067597,-0.0174045285275452
-0.0664635433145634,-0.042278500548162,-0.0291163258492059
-0.0642154583797555,-0.0398128590067597,-0.021610622921702
-0.0650856848061327,-0.0262518305290474,-0.0186373492982464
-0.0709959726186116,-0.0225171087825117,0.00841218878831353
-0.0628375998713248,-0.0386525571049234,-0.0120018727971197
-0.0663910244456986,-0.0277384673407752,-0.0129083586579294
-0.0676963640852645,-0.0428223920646478,-0.0171869719209509
-0.0740780245453644,-0.0427861326302154,-0.012872099223497
-0.067551326347535,-0.0373109580309251,-0.0155190379370612
-0.0800970906611405,-0.0349178353583876,-0.0132346935678209
-0.067551326347535,-0.0497116846068011,-0.0178759011751663
-0.071974977348286,-0.0377098118096814,-0.0235323729466185
-0.0688566659871009,-0.0446353637862671,-0.0310743353085547
-0.071503604700665,-0.02781098620964,-0.0219732172660259
-0.0757822179636866,-0.0369483636866012,-0.0105152359853919
-0.0664635433145634,-0.0414082741217847,-0.0199789483722446
-0.0666810999211577,-0.0376010335063842,-0.0277747267752076
-0.0616772979694884,-0.0394502646624359,-0.017948420044031
-0.0686753688149389,-0.0420246845071353,-0.0150114058550078
-0.0651944631094299,-0.0349903542272524,-0.0108778303297158
-0.071503604700665,-0.0340838683664428,-0.0142136982974953
-0.0649406470684032,-0.0302403683166099,-0.0092824152146908
-0.0628013404368924,-0.0288625098081792,-0.0134522501744152
-0.0600093639855987,-0.0464845949423187,-0.0167881181421947
-0.0670436942654816,-0.0451429958683205,-0.0197976512000827
-0.0643242366830526,-0.0238587078565099,-0.0174045285275452
-0.0698356707167753,-0.0269770192176951,-0.0134522501744152
-0.0620761517482447,-0.0382537033261671,-0.0127633209201998
-0.0708146754464497,-0.0267594626111008,-0.0114217218462016
-0.0743681000208235,-0.0238224484220775,-0.0129083586579294
-0.0708146754464497,-0.0244025993729957,-0.0196163540279208
-0.0743318405863911,-0.0316544862594729,-0.010805311460851
-0.0685665905116418,-0.0233510757744565,-0.0204140615854333
-0.0695093358068838,-0.0352079108338467,-0.0208854342330543
-0.0640341612075935,-0.0403204910888131,-0.0158453728469526
-0.0630188970434867,-0.0348815759239553,-0.0174045285275452
-0.0655570574537537,-0.0287899909393144,-0.0203052832821361
-0.0666085810522929,-0.0302041088821775,-0.0134522501744152
-0.0758909962669837,-0.0377098118096814,-0.012872099223497
-0.0733528358567167,-0.0481162694917761,-0.0183110143883549
-0.0702345244955315,-0.0393052269247063,-0.0219732172660259
-0.06595591123251,-0.0289712881114763,-0.00681677367328855
-0.0708871943153145,-0.0317995239972024,-0.0131621746989561
-0.0683127744706151,-0.0345915004484962,-0.0151201841583049
-0.0644330149863498,-0.0393414863591387,-0.0219006983971611
-0.0633089725189458,-0.0284999154638553,-0.0150476652894402
-0.0664635433145634,-0.0426773543269182,-0.0194713162901912
-0.065303241412727,-0.0263243493979122,-0.0159178917158174
-0.0675150669131026,-0.0284636560294229,-0.0186373492982464
-0.0716123830039622,-0.0306754815297985,-0.0176220851341396
-0.0620398923138123,-0.045940703425833,-0.0157003351092231
-0.058631505477168,-0.0423510194170268,-0.0263606088323446
-0.0673337697409406,-0.0253816041026701,-0.0151201841583049
-0.0699444490200724,-0.0421697222448648,-0.0156278162403583
-0.0626925621335953,-0.0304579249232042,-0.0122556888381464
-0.0677688829541293,-0.042278500548162,-0.0189636842081378
-0.0662822461424015,-0.0428223920646478,-0.0135972879121447
-0.064831868765106,-0.0484788638361,-0.0189636842081378
-0.0702345244955315,-0.0356792834814677,-0.0185285709949492
-0.063236453650081,-0.0259617550535883,-0.0212842880118105
-0.0636715668632697,-0.0370934014243308,-0.0130171369612265
-0.0627288215680276,-0.0230610002989974,-0.0224445899136469
-0.0674062886098054,-0.0148301086828458,-0.010805311460851
-0.0600093639855987,-0.0251640474960758,-0.00141411794286305
-0.0781390812017917,-0.044816660958429,-0.0182384955194901
-0.056746014886684,-0.0402479722199484,-0.0137423256498743
-0.0678776612574264,-0.0434388024499983,-0.0159541511502498
-0.0897421002201551,-0.0370571419898984,-0.0253816041026701
-0.0818012840794626,-0.0465933732456159,-0.00761448123080104
-0.0639979017731611,-0.030349146619907,-0.0124732454447408
-0.085028373743945,-0.040211712785516,-0.0184560521260844
-0.0856810435637279,-0.0302403683166099,-0.0129808775267942
-0.0577250196163584,-0.0251277880616434,-0.0124732454447408
-0.0720112367827184,-0.0390151514492472,-0.0191087219458674
-0.0687478876838037,-0.0499292412133954,-0.0237136701187804
-0.0642154583797555,-0.0244751182418605,-0.0118568350593902
-0.0620398923138123,-0.0245113776762929,-0.0113129435429044
-0.0694730763724514,-0.0259617550535883,-0.00148663681172782
-0.0723013122581775,-0.0271945758242894,-0.0200877266755418
-0.0684215527739122,-0.0422422411137296,-0.0125457643136055
-0.0641429395108907,-0.043873915663187,-0.0116755378872283
-0.0688204065526685,-0.0349903542272524,-0.02066787762646
-0.0657746140603481,-0.0255991607092645,-0.0160991888879793
-0.0646143121585117,-0.0248377125861844,-0.0191449813802998
-0.0649769065028356,-0.039740340137895,-0.0105152359853919
-0.0577250196163584,-0.0288625098081792,-0.000906485860809648
-0.0577250196163584,-0.0226258870858088,-0.0233510757744565
-0.0647230904618089,-0.0239674861598071,-0.0145762926418191
-0.0657746140603481,-0.0251277880616434,-0.0278472456440724
-0.0638166046009992,-0.0293701418902326,-0.0101889010755004
-0.063889123469864,-0.0285724343327201,-0.0084847076571783
-0.059102878124789,-0.0420246845071353,-0.00993508503447374
-0.0723013122581775,-0.0335762362843894,-0.0148301086828458
-0.0642517178141878,-0.0314006702184462,-0.0127995803546322
-0.079299383103628,-0.0249102314550491,-0.00873852369820501
-0.0708871943153145,-0.0319083023004996,-0.0125457643136055
-0.0646505715929441,-0.026215571094615,-0.0168606370110594
-0.058160132829547,-0.0297327362345564,-0.0233510757744565
-0.0667898782244549,-0.0315094485217434,-0.0209216936674867
-0.0665723216178605,-0.0254541229715349,-0.0147213303795487
-0.0646143121585117,-0.0301315900133127,-0.0150476652894402
-0.0692555197658571,-0.0269770192176951,-0.00913737747696125
-0.0583776894361413,-0.0427861326302154,-0.0168243775766271
-0.0729539820779605,-0.0315457079561757,-0.0157365945436555
-0.0633089725189458,-0.0385800382360586,-0.0185285709949492
-0.0686391093805065,-0.0253453446682378,-0.0116392784527959
-0.0669349159621844,-0.0353166891371439,-0.00902859917366409
-0.0672249914376435,-0.0244751182418605,-0.0205953587575952
-0.0648681281995384,-0.031944561734932,-0.0254903824059673
-0.0613872224940294,-0.0326334909891473,-0.0199064295033799
-0.0679139206918588,-0.025744198446994,-0.0188549059048407
-0.0686391093805065,-0.0327060098580121,-0.0247289342828872
-0.0667898782244549,-0.0265781654389389,-0.00906485860809648
-0.0786829727182774,-0.0399216373100569,-0.0245838965451576
-0.0660646895358071,-0.0235323729466185,-0.0170781936176538
-0.0634902696911077,-0.0313281513495814,-0.0162804860601413
-0.0642517178141878,-0.0424597977203239,-0.022553368216944
-0.056746014886684,-0.0248377125861844,-0.0113854624117692
-0.065303241412727,-0.0414082741217847,-0.0182384955194901
-0.0655570574537537,-0.0296964768001241,-0.0166430804044651
-0.05881280264933,-0.0259980144880207,-0.0111316463707425
-0.0633452319533782,-0.0234235946433213,-0.0189636842081378
-0.0595742507724101,-0.0433300241467012,-0.0162079671912765
-0.0602631800266254,-0.0412632363840552,-0.0113129435429044
-0.0563471611079277,-0.0407556043020018,-0.0170781936176538
-0.0593566941658157,-0.028282358857261,-0.0209942125363514
-0.0605532555020845,-0.0300953305788803,-0.0131259152645237
-0.0582689111328442,-0.0300953305788803,0.0403204910888131
0.241052720106502,-0.0259617550535883,0.655099201889916
1.34874218258146,-0.0284636560294229,1.6060753887481
2.30744162897374,-0.0235323729466185,2.36175826175346
3.12378653578448,-0.0269045003488303,3.01667616647121
3.56187302259657,-0.0290800664147735,3.52739030045137
3.8347615261347,-0.0272308352587218,3.94901500403115
3.99361410838298,0.710358579964873,4.319658942799
4.13081980827513,1.81206523575849,4.57314864891581
4.22364396042204,2.6166258263787,4.75549734467628
4.30983263606782,3.20725575384783,4.86931570935954
4.3834755474,3.64936703788191,4.94930402171738
4.44323109534457,3.96689090520632,5.0098935366539
4.49341415259899,4.24684999845877,5.0415842823478
4.54653422404244,4.46179592577395,5.03886482476537
4.61811034761197,4.6294595505893,5.01642023485173
4.67663307478584,4.74654126437148,4.99887066858645
4.74396684452678,4.83787877970666,4.97091464463908
4.80908878876734,4.91453122409672,4.94564181883971
4.88911336055962,4.98850047033879,4.91047016744029
4.97066082859806,5.00634011207952,4.86779281311338
5.01083628194914,5.04905372584087,4.83069941168905
5.04774838620131,5.09452305661909,4.80767467082448
5.08629216500293,5.16022515181057,4.80709451987356
5.11678634936057,5.21225744022104,4.82268607667949
5.15485875551458,5.26632025695973,4.87896071891855
5.1870208738561,5.30566174331887,4.99060351753587
5.2188203978533,5.31356630002513,5.078750202641
5.25982981819633,5.32060063030501,5.14728053371821
5.2903602619884,5.35704136190956,5.23738522828269
5.32078192747717,5.40747823520501,5.27661793633853
5.3643657676649,5.46357158027191,5.28807591761916
5.40620915499987,5.5124855573212,5.31030295092621
5.43528922141465,5.5674548599207,5.33539447955343
5.47321658983092,5.55933274660784,5.35290778638427
5.52397979803626,5.55102933612282,5.38260426318439
5.56277739287892,5.5736189637742,5.40606411726215
5.5992543839179,5.59787652540947,5.45613839621327
5.65233819592691,5.61734784169966,5.46886545769904
