PT1 [Psi],PT2 [Psi],PT3 [Psi]
0,0,0
-0.0516696940661499,-0.0460494817291301,-0.0282460994228286
-0.0497479440412335,-0.0566009771489544,-0.0473910808031284
-0.0368395853833041,-0.0541353356075522,-0.0270857975209923
-0.0353529485715763,-0.0430762081056745,-0.0347002787517933
-0.0556582318537124,-0.0550780809027942,-0.0238224484220775
-0.0399216373100569,-0.0379998872851404,-0.0287174720704496
-0.0490952742214505,-0.0455418496470767,-0.0402842316543808
-0.0556582318537124,-0.0492403119591801,-0.0295514390623945
-0.0522861044515005,-0.0504731327298812,-0.029877773972286
-0.035606764612603,-0.0452517741716176,-0.0465571138111835
-0.0345552410140638,-0.0489139770492886,-0.0343739438419019
-0.0419159062038381,-0.061169665887435,-0.035606764612603
-0.051488396893988,-0.052612439361392,-0.0295151796279621
-0.0476811562785875,-0.0656295763226185,-0.0234235946433213
-0.0556582318537124,-0.0467746704177778,-0.0413357552529199
-0.0463395572045892,-0.0573261658376021,-0.0443090288763756
-0.0348815759239553,-0.0498204629100982,-0.0444903260485375
-0.037020882555466,-0.0548605242961999,-0.028935028677044
-0.0598280668134368,-0.0457956656881034,-0.0332136419400655
-0.0357155429159001,-0.0467746704177778,-0.0383262221950319
-0.0413357552529199,-0.0534826657877692,-0.0312193730462843
-0.0371296608587632,-0.0480800100573437,-0.0229884814301327
-0.0377098118096814,-0.0507994676397727,-0.0273758729964514
-0.0373472174653575,-0.0452155147371852,-0.0450342175650233
-0.0482250477950733,-0.0543166327797141,-0.0278472456440724
-0.0322346372103911,-0.048297566663938,-0.0395227835313006
-0.0393414863591387,-0.0504731327298812,-0.0523948827547976
-0.0529387742712834,-0.0522861044515005,-0.020196504978839
-0.0346640193173609,-0.0454330713437796,-0.0295151796279621
-0.0378911089818433,-0.0489139770492886,-0.0316182268250405
-0.0372384391620603,-0.0443090288763756,-0.0187461276015435
-0.0320895994726615,-0.0498204629100982,-0.0304941843576366
-0.0478987128851818,-0.0471735241965341,-0.0257804578814264
-0.0384712599327615,-0.0494578685657744,-0.0274121324308838
-0.054497929951876,-0.0507994676397727,-0.042749873195783
-0.0447804015239966,-0.0411181986463256,-0.0317632645627701
-0.033539976849957,-0.040211712785516,-0.0509445053775022
-0.0353892080060087,-0.046883448721075,-0.0196526134623532
-0.0431487269745392,-0.0504368732954488,-0.0242213022008338
-0.0415533118595143,-0.0477536751474522,-0.0317632645627701
-0.037673552375249,-0.0442002505730784,-0.0296602173656917
-0.0416620901628114,-0.0493853496969096,-0.0356430240470354
-0.0372384391620603,-0.0505819110331783,-0.0307842598330956
-0.0433662835811336,-0.0479712317540466,-0.0228797031268355
-0.0394502646624359,-0.0487689393115591,-0.0229884814301327
-0.030349146619907,-0.0482613072295057,-0.0494941280002068
-0.035606764612603,-0.0536639629599312,-0.0205590993231628
-0.0407193448675694,-0.0548967837306323,-0.0263968682667769
-0.0386888165393558,-0.0411181986463256,-0.0469197081555074
-0.0471372647621017,-0.0464845949423187,-0.029225104152503
-0.0389788920148149,-0.0460494817291301,-0.0280285428162343
-0.0362956938668183,-0.0554044158126857,-0.0295151796279621
-0.054969302599497,-0.0469559675899398,-0.0304941843576366
-0.0389788920148149,-0.0584502083050061,-0.0431124675401068
-0.0234598540777537,-0.0455781090815091,-0.0250915286272111
-0.030820519267528,-0.0494578685657744,-0.0301315900133127
-0.0571448686654402,-0.0533738874844721,-0.0225171087825117
-0.0342289061041723,-0.068494071642777,-0.0204140615854333
-0.0446716232206994,-0.0500017600822602,-0.0452155147371852
-0.0486964204426943,-0.0531200714434454,-0.0350266136616848
-0.0350991325305496,-0.0586677649116004,-0.0315094485217434
-0.0406105665642722,-0.0449254392617261,-0.0282460994228286
-0.0541353356075522,-0.0497116846068011,-0.0407556043020018
-0.0499655006478278,-0.0453242930404824,-0.0250190097583463
-0.0416983495972438,-0.0559483073291715,-0.0376010335063842
-0.0486964204426943,-0.0587765432148976,-0.0198701700689475
-0.0403930099576779,-0.0466658921144807,-0.0183835332572197
-0.0380724061540052,-0.0527212176646891,-0.0262518305290474
-0.0282098399883962,-0.0490227553525858,-0.0345552410140638
-0.0528662554024187,-0.0499292412133954,-0.0372021797276279
-0.0542441139108493,-0.058631505477168,-0.031291891915149
-0.0552956375093885,-0.0487326798771267,-0.0244751182418605
-0.0491315336558829,-0.0723738311270423,-0.034011349497578
-0.0455418496470767,-0.0488414581804238,-0.0296602173656917
-0.0283548777261258,-0.0396678212690302,-0.0237136701187804
-0.035425467440441,-0.0542078544764169,-0.029225104152503
-0.048007491188479,-0.0531200714434454,-0.0455055902126443
-0.044816660958429,-0.0532651091811749,-0.0290438069803411
-0.0361143966946564,-0.043221245843404,-0.026686943742236
-0.0261793116601826,-0.0478624534507494,-0.030349146619907
-0.033539976849957,-0.0471010053276693,-0.0246926748484548
-0.0469197081555074,-0.0463758166390216,-0.0180571983473282
-0.0492040525247477,-0.0497116846068011,-0.0378185901129785
-0.0534101469189045,-0.057036090362143,-0.0292976230213678
-0.0584502083050061,-0.049892981778963,-0.0463032977701568
-0.051017024246367,-0.0547880054273351,-0.0269770192176951
-0.0323434155136882,-0.0530112931401482,-0.0329960853334712
-0.0496391657379363,-0.0515246563284204,-0.0446716232206994
-0.0317632645627701,-0.0386888165393558,-0.0288625098081792
-0.0452155147371852,-0.0439464345320517,-0.0241125238975366
-0.0331048636367683,-0.0529025148368511,-0.0413720146873523
-0.0498204629100982,-0.045759406253671,-0.0252003069305082
-0.0478987128851818,-0.050364354426584,-0.0450342175650233
-0.041807127900541,-0.0536639629599312,-0.0275934296030457
-0.0497116846068011,-0.0480800100573437,-0.0418796467694057
-0.0573624252720345,-0.0457956656881034,-0.0409369014741637
-0.054497929951876,-0.0550055620339294,-0.0272670946931542
-0.0534464063533368,-0.0509807648119346,-0.024148783331969
-0.0421334628104324,-0.0474998591064255,-0.0257804578814264
-0.0395953024001654,-0.0517422129350147,-0.0316182268250405
-0.0534101469189045,-0.0420609439415677,-0.0184923115605168
-0.0488051987459914,-0.0508357270742051,-0.0251277880616434
-0.0578700573540879,-0.0537002223943635,-0.0313281513495814
-0.0538090006976607,-0.0470647458932369,-0.0385075193671938
-0.0491315336558829,-0.0500380195166926,-0.0399941561789217
-0.0401754533510836,-0.0450342175650233,-0.0248377125861844
-0.0350266136616848,-0.0464845949423187,-0.02781098620964
-0.0477899345818846,-0.0594654724691129,-0.0200514672411094
-0.0521773261482033,-0.0541353356075522,-0.0398491184411921
-0.0500742789511249,-0.0449254392617261,-0.0212480285773781
-0.0328510475957416,-0.0500380195166926,-0.040211712785516
-0.0517059535005823,-0.0489139770492886,-0.018419792691652
-0.0526486987958244,-0.0680589584295884,-0.0377460712441137
-0.0534464063533368,-0.0561296045013334,-0.0242213022008338
-0.0385800382360586,-0.0552593780749561,-0.0260705333568855
-0.0490952742214505,-0.0481525289262085,-0.0213568068806753
-0.0457231468192386,-0.0596830290757072,-0.0175133068308424
-0.0493128308280448,-0.0485151232705324,-0.035135391964982
-0.031473189087311,-0.0621124111826771,-0.0158453728469526
-0.0495303874346392,-0.0531563308778778,-0.0284273965949906
-0.0502918355577193,-0.0526849582302567,-0.0166068209700327
-0.0431849864089716,-0.0476086374097227,-0.023677410684348
-0.0511258025496641,-0.056746014886684,-0.0245113776762929
-0.0402842316543808,-0.0477536751474522,-0.0332136419400655
-0.0384712599327615,-0.0458319251225358,0.901699615464573
0.252691998559297,-0.0465933732456159,1.91627485031716
1.77975807967923,-0.0451067364338881,2.96199693934717
2.88864410349046,-0.0552956375093885,3.76731897809046
3.70154436403012,0.355958867822733,4.54062393622996
4.10322637867209,1.53431796800641,4.95992803600607
4.39540490132825,2.68802065277607,5.19557810038215
4.6728983530393,3.48460416782115,5.32462542752701
4.95053684248808,4.10221111450798,5.42412131560947
5.12617754287856,4.57155323380078,5.5202088168553
5.30366747442509,4.98585353162523,5.59591851595012
5.45675480659862,5.29239079031662,5.67587056887353
5.59062463852299,5.52517635937253,5.73486466869502
5.66807479047057,5.68598695108016,5.76035505110099
5.7664103766512,5.68772740393292,5.78580917407252
5.83512200490057,5.65542024785366,5.8047003394118
5.87275929784138,5.64051762030195,5.82536821703826
5.86387573640545,5.68265108311239,5.82141593868513
5.8761314252436,5.75357453686213,5.84628991070574
5.89719815664881,5.79628815062348,5.86982228365236
5.93556063827828,5.82554951421042,5.88729933104877
5.97399563877661,5.85045974566547,5.91601680311922
5.98545362005724,5.87460852899744,5.95296516680582
6.0176519978332,5.90017143027227,5.96496703960294
6.02620922435924,5.93055683632661,5.99818068154301
6.00916729017602,5.96623611980808,6.02232946487498
6.01047262981559,6.00648409202802,6.02599166775265
6.00184288442068,5.9934669550668,6.03150310178637
6.00561386560165,5.97033343589893,6.03614430939372
5.98915208236934,5.9589842329216,6.02925501685156
5.98773796442648,5.94074573740211,6.03248210651604
5.95724378006884,5.93012172311342,6.02606418662151
5.95960064330695,5.94056444022995,6.01279323361926
5.95205868094501,5.91445764743863,6.00409096935549
5.95202242151058,5.89730693495211,5.9960413749115
5.91608932198809,5.90477637844518,5.99277802581258
5.93033927972001,5.88530506215499,5.97370556330115
5.89727067551768,5.88617528858137,5.9664899358491
5.90575538317486,5.87696539223554,5.97468456803082
5.89901112837043,5.87268677897252,5.96997084155461
5.87417341578425,5.86735664211096,5.96881053965278
5.87547875542381,5.85618873630578,5.96619986037364
5.88167911871175,5.85666010895341,5.96264643579927
5.87051121290658,5.85470209949406,5.95390791210106
5.84313533991013,5.86050360900324,5.94400908650102
5.84168496253283,5.83624604736797,5.93686597791784
5.84469449559072,5.83457811338408,5.93846139303287
