PT1 [Psi],PT2 [Psi],PT3 [Psi]
0,0,0
-0.0623299677892714,-0.0572536469687374,-0.0213568068806753
-0.0398491184411921,-0.0517422129350147,-0.0387975948426529
-0.0312193730462843,-0.0526486987958244,-0.0324884532514178
-0.0434025430155659,-0.0535914440910664,-0.0379636278507081
-0.0388701137115177,-0.0555131941159828,-0.0306754815297985
-0.0430762081056745,-0.0539177790009579,-0.0533738874844721
-0.0382537033261671,-0.0492040525247477,-0.0315819673906081
-0.059102878124789,-0.0519960289760414,-0.0325972315547149
-0.0602994394610578,-0.0423510194170268,-0.028753731504882
-0.052612439361392,-0.0525761799269596,-0.0296964768001241
-0.0387613354082205,-0.0587040243460328,-0.0515246563284204
-0.0387613354082205,-0.0571448686654402,-0.0313644107840138
-0.0526486987958244,-0.0593204347313834,-0.0383987410638967
-0.0488051987459914,-0.05243114218923,-0.0259617550535883
-0.0576162413130612,-0.0508719865086374,-0.0530112931401482
-0.0343376844074695,-0.0514158780251232,-0.0259254956191559
-0.0546067082551732,-0.0559845667636039,-0.0327422692924445
-0.0637078262977021,-0.0388701137115177,-0.0248377125861844
-0.0427861326302154,-0.0540628167386874,-0.0306754815297985
-0.0453605524749148,-0.0526486987958244,-0.0245113776762929
-0.0563109016734953,-0.0582689111328442,-0.0329235664646064
-0.0374197363342223,-0.0566734960178192,-0.0294789201935297
-0.0388701137115177,-0.0380361467195728,-0.0297689956689888
-0.0393414863591387,-0.045940703425833,-0.0284273965949906
-0.0469197081555074,-0.0533013686156073,-0.0378911089818433
-0.0420972033760001,-0.0359330995224944,-0.0491315336558829
-0.0463032977701568,-0.0532288497467425,-0.0312556324807167
-0.0571811280998726,-0.0606257743709493,-0.0416983495972438
-0.0447078826551318,-0.0606620338053816,-0.0312556324807167
-0.0442365100075108,-0.0413720146873523,-0.0217194012249992
-0.0698356707167753,-0.0504731327298812,-0.0387250759737882
-0.0423147599825944,-0.0416620901628114,-0.040683085433137
-0.0477174157130199,-0.0475361185408579,-0.0306392220953661
-0.0410094203430285,-0.0492040525247477,-0.0321621183415263
-0.0404292693921103,-0.0439464345320517,-0.03100181643969
-0.0369483636866012,-0.0462670383357244,-0.031473189087311
-0.0382174438917348,-0.0502918355577193,-0.0305304437920689
-0.0416620901628114,-0.0486239015738295,-0.0489139770492886
-0.0344464627107666,-0.0474273402375608,-0.0341563872353075
-0.0417708684661086,-0.0487326798771267,-0.0359693589569268
-0.0465933732456159,-0.0572899064031697,-0.0399216373100569
-0.0345552410140638,-0.0514158780251232,-0.0356792834814677
-0.0383262221950319,-0.0418796467694057,-0.0418796467694057
-0.0338300523254161,-0.0467384109833454,-0.0270857975209923
-0.0405017882609751,-0.0529750337057158,-0.0440914722697813
-0.0413720146873523,-0.0502193166888545,-0.0339388306287132
-0.0421697222448648,-0.0543528922141465,-0.0501467978199897
-0.0601906611577606,-0.0543166327797141,-0.0367670665144393
-0.0537364818287959,-0.0445628449174023,-0.0411907175151904
-0.0377098118096814,-0.0506181704676107,-0.0288987692426116
-0.0358605806536297,-0.0555131941159828,-0.0295876984968269
-0.0438013967943222,-0.0530475525745806,-0.0379636278507081
-0.0440552128353489,-0.0504006138610164,-0.048297566663938
-0.0355342457437382,-0.0430762081056745,-0.0435475807532955
-0.0505093921643136,-0.0573986847064669,-0.0216831417905668
-0.0287899909393144,-0.044816660958429,-0.0493490902624772
-0.0325972315547149,-0.0600093639855987,-0.0247289342828872
-0.0437288779254574,-0.0552956375093885,-0.0423872788514591
-0.0449616986961585,-0.0517059535005823,-0.0310380758741223
-0.0563109016734953,-0.0501830572544221,-0.0395953024001654
-0.0395953024001654,-0.0496391657379363,-0.0421334628104324
-0.0384350004983291,-0.0518147318038795,-0.0539540384353902
-0.040211712785516,-0.0531925903123101,-0.0453968119093472
-0.0413720146873523,-0.0547880054273351,-0.0352079108338467
-0.0429674298023773,-0.0530112931401482,-0.0503280949921516
-0.046230778901292,-0.055150599771659,-0.0348453164895229
-0.0389063731459501,-0.0425323165891887,-0.0384712599327615
-0.0431849864089716,-0.057688760181926,-0.0384712599327615
-0.0460132222946977,-0.051959769541609,-0.0301678494477451
-0.0379636278507081,-0.0522861044515005,-0.054969302599497
-0.0373834768997899,-0.0555857129848476,-0.0496029063035039
-0.0406105665642722,-0.063236453650081,-0.0443815477452404
-0.0329598258990388,-0.0511620619840965,-0.0561658639357658
-0.0405017882609751,-0.0525761799269596,-0.0317270051283377
-0.0419159062038381,-0.0376010335063842,-0.0375647740719518
-0.0414807929906495,-0.0530112931401482,-0.0476448968441551
-0.0405017882609751,-0.0522498450170681,-0.0394502646624359
-0.039559042965733,-0.0321258589070939,-0.0421334628104324
-0.0388701137115177,-0.0598280668134368,-0.0347002787517933
-0.0532288497467425,-0.049892981778963,-0.0266144248733713
-0.036549509907845,-0.0538452601320931,-0.0395953024001654
-0.0416620901628114,-0.0519235101071766,-0.0383624816294643
-0.0407193448675694,-0.0467384109833454,-0.0470647458932369
-0.0589940998214919,-0.0509445053775022,-0.0524674016236624
-0.039740340137895,-0.0465208543767511,-0.0368395853833041
-0.0436563590565926,-0.0497842034756659,-0.0511258025496641
-0.0409369014741637,-0.053083812009013,-0.0475723779752903
-0.0369483636866012,-0.0513796185906908,-0.0426048354580534
