PT1 [Psi],PT2 [Psi],PT3 [Psi]
0,0,0
-0.0539177790009579,-0.0316544862594729,-0.0256354201436968
-0.0612421847562998,-0.0321621183415263,-0.00786829727182774
-0.0593204347313834,-0.0463758166390216,-0.00239312267253747
-0.0567822743211163,-0.03100181643969,-0.00551143403372266
-0.059102878124789,-0.0301315900133127,-0.0200514672411094
-0.0603719583299226,-0.0294789201935297,0.00373472174653575
-0.0600456234200311,-0.0349178353583876,-0.0173682690931129
-0.0620036328793799,-0.0363319533012507,-0.0168968964454918
-0.0614597413628941,-0.0367670665144393,-0.00166793398388975
-0.0662097272735367,-0.0486239015738295,-0.0284636560294229
-0.0646143121585117,-0.0364044721701155,0.00152289624616021
-0.0768337415622257,-0.0576162413130612,-0.00525761799269596
-0.0625475243958657,-0.0566372365833868,-0.0152289624616021
-0.0614960007973265,-0.0339388306287132,-0.019072462511435
-0.0628013404368924,-0.0507632082053403,-0.0145400332073868
-0.0527212176646891,-0.0593204347313834,-0.0186373492982464
-0.0616772979694884,-0.0366220287767098,-0.00344464627107666
-0.0682039961673179,-0.0487326798771267,-0.00917363691139364
-0.0641791989453231,-0.0333949391122274,-0.0117117973216607
-0.0525761799269596,-0.0379636278507081,-0.0054026557304255
-0.0612784441907322,-0.0507994676397727,-0.0105877548542567
-0.077232595340982,-0.0418433873349733,-0.00989882560004136
-0.0588490620837623,-0.0327422692924445,-0.00779577840296297
-0.0602994394610578,-0.0365132504734126,-0.0146125520762515
-0.080713501046491,-0.0519235101071766,-0.0203052832821361
-0.0632001942156487,-0.0312556324807167,-0.0143224766007924
-0.0612784441907322,-0.0617860762727856,-0.0141411794286305
-0.0718661990449889,-0.0279560239473695,-0.00692555197658571
-0.0649406470684032,-0.0498567223445306,-0.00297327362345564
-0.0687116282493713,-0.0257079390125616,-0.00855722652604308
-0.0665723216178605,-0.0566372365833868,-0.00924615578025841
-0.0707784160120173,-0.0515971751972852,-0.00116030190183635
-0.063417750822243,-0.039559042965733,-0.00866600482934023
-0.0617860762727856,-0.0559845667636039,-0.00445991043518347
-0.0580876139606822,-0.0284273965949906,-0.00601906611577606
-0.0656658357570509,-0.0467384109833454,-0.0247289342828872
-0.0824539538992456,-0.0421697222448648,-0.0291163258492059
-0.0553681563782533,-0.043692618491025,-0.022081995569323
-0.0770512981688201,-0.0487326798771267,-0.01747704739641
-0.0730265009468252,-0.0423872788514591,-0.0158091134125203
-0.0520322884104738,-0.0595379913379777,0.000761448123080104
-0.0661372084046719,-0.0444903260485375,-0.0143949954696572
-0.0554406752471181,-0.0562021233701982,-0.00841218878831353
-0.0614960007973265,-0.0585589866083033,-0.000870226426377262
-0.059284175296951,-0.0419884250727029,-0.00674425480442378
-0.0761448123080104,-0.0376010335063842,-0.00380724061540052
-0.0653395008471594,-0.0369846231210336,-0.00195800945934884
-0.0596105102068424,-0.0405380476954075,-0.00663547650112662
-0.0678051423885617,-0.0521773261482033,-0.00986256616560897
-0.0708509348808821,-0.0548967837306323,-0.00351716513994143
-0.0593204347313834,-0.0465571138111835,0.00572899064031697
-0.0650494253717003,-0.0612059253218674,-0.0136698067810095
-0.0789730481937365,-0.0531563308778778,-0.00703433027988287
-0.065484538584889,-0.055150599771659,-0.00616410385350561
-0.0688204065526685,-0.0548605242961999,0.000942745295242034
-0.0560570856324686,-0.0358968400880621,-0.00445991043518347
-0.0649043876339708,-0.0343739438419019,-0.00456868873848063
-0.0631276753467839,-0.0517422129350147,-0.0105877548542567
-0.069436816938019,-0.0522861044515005,-0.00525761799269596
-0.0652669819782946,-0.0456143685159415,-0.015410259633764
-0.0629101187401896,-0.0411907175151904,-0.00877478313263739
-0.0854272275227012,-0.0538815195665255,-0.00855722652604308
-0.0615685196661913,-0.0486964204426943,-0.00975378786231181
-0.0677326235196969,-0.0450704769994557,-0.00355342457437382
-0.0808222793497882,-0.0509445053775022,-0.0107327925919862
-0.0683852933394798,-0.057036090362143,-0.00830341048501637
-0.0800608312267081,-0.0515246563284204,-0.0173320096586805
-0.0662459867079691,-0.0530112931401482,-0.00761448123080104
-0.0687841471182361,-0.0439101750976193,-0.0077232595340982
-0.0650494253717003,-0.0314369296528786,-0.0054026557304255
-0.0612784441907322,-0.0342289061041723,-0.0164617832323032
-0.0758184773981189,-0.0598643262478691,-0.00670799536999139
-0.0623299677892714,-0.0508357270742051,-0.00692555197658571
-0.0732077981189872,-0.0657383546259157,-0.0169694153143566
-0.0592116564280862,-0.0350266136616848,-0.0126908020513351
-0.0690017037248304,-0.0567097554522516,-0.00279197645129372
-0.0712860480940707,-0.0509807648119346,-0.00547517459929027
-0.0731352792501224,-0.0562746422390629,-0.00279197645129372
-0.0639253829042964,-0.0534464063533368,-0.00942745295242034
-0.0634902696911077,-0.0453968119093472,-0.00884730200150216
-0.0653757602815918,-0.0529387742712834,-0.00311831136118519
