PT1 [Psi],PT2 [Psi],PT3 [Psi]
0,0,0
0.0023206038036727,-0.0130533963956589,-0.0501105383855573
-0.0137423256498743,-0.000471372647621017,-0.0504731327298812
0.000725188688647718,-0.00674425480442378,-0.0489864959181534
-0.0213930663151077,-0.0188911653392731,-0.0442002505730784
-0.0117843161905254,-0.00395227835313007,-0.0538815195665255
-0.0155190379370612,-0.00569273120588459,-0.0487689393115591
-0.0219732172660259,-0.00199426889378123,-0.0539540384353902
-0.0196526134623532,-0.00623662272237038,-0.0562021233701982
-0.022081995569323,0.00221182550037554,-0.0448891798272938
0.00627288215680276,-0.0160991888879793,-0.0546067082551732
-0.0169331558799242,-0.0133797313055504,-0.0490227553525858
0.00496754251723687,-0.0185285709949492,-0.0469197081555074
-0.0201239861099742,-0.0143587360352248,-0.0382899627605995
-0.0151927030271697,-0.0147213303795487,-0.0481162694917761
-0.0025744198446994,-0.0117117973216607,-0.0541353356075522
-0.00775951896853059,-0.0127995803546322,-0.0471735241965341
-0.0219732172660259,-0.0172232313553833,-0.0339025711942808
-0.0111679058051749,-0.0107327925919862,-0.0528662554024187
-0.0159541511502498,-0.0126908020513351,-0.0516334346317175
-0.0169331558799242,-0.0155552973714936,-0.0515609157628528
-0.00699807084545048,-0.0151927030271697,-0.0518872506727442
0.00355342457437382,-0.01033393881323,-0.046412076073454
-0.022734665389106,-0.0215743634872696,-0.0650494253717003
-0.00902859917366409,-0.0126908020513351,-0.0478987128851818
-0.011929353928255,-0.013996141690901,-0.0550780809027942
0.000326334909891473,-0.0138873633876038,-0.0382537033261671
-0.0182384955194901,-0.00311831136118519,-0.0504006138610164
-0.0234961135121861,-0.0164617832323032,-0.0741505434142292
-0.0223720710447821,-0.0046412076073454,-0.0244388588074281
-0.0197976512000827,-0.00855722652604308,-0.0446353637862671
-0.00261067927913179,0.00250190097583463,-0.0522135855826357
-0.019543835159056,-0.0177308634374367,-0.0463758166390216
-0.00533013686156073,-0.0113854624117692,-0.0525036610580948
-0.0157365945436555,-0.0102251605099328,-0.0471372647621017
-0.00641791989453231,-0.00765074066523343,-0.0357518023503325
-0.00184923115605168,-0.0122919482725788,-0.0577975384852231
-0.0136335473465771,-0.0108415708952834,-0.0465933732456159
-0.0194713162901912,-0.0101526416410681,-0.0605532555020845
-0.0211029908396486,-0.00906485860809648,-0.0423510194170268
-0.0176946040030043,-0.0113854624117692,-0.0462670383357244
-0.0204140615854333,-0.0108778303297158,-0.0585952460427356
-0.00402479722199484,-0.0113854624117692,-0.0300590711444479
-0.0161717077568441,-0.0118568350593902,-0.0585227271738709
-0.0156640756747907,-0.00975378786231181,-0.0412632363840552
-0.0189636842081378,-0.0126182831824703,-0.0369121042521689
-0.0104789765509595,-0.0074694434930715,-0.0621486706171095
-0.00213930663151077,-0.0151201841583049,-0.0600818828544635
-0.0174407879619776,-0.00942745295242034,-0.0379273684162757
-0.0123282077070112,-0.0133797313055504,-0.0389063731459501
-0.0106965331575538,-0.00688929254215332,-0.049892981778963
-0.0151564435927373,-0.0181659766506253,-0.0632001942156487
-0.000253816041026701,-0.0131259152645237,-0.0411181986463256
-0.00866600482934023,-0.0202690238477037,-0.0458319251225358
-0.0116755378872283,-0.0131259152645237,-0.0364044721701155
-0.0138511039531714,-0.0092824152146908,-0.0600818828544635
-0.0147213303795487,-0.00775951896853059,-0.0572536469687374
-0.00533013686156073,-0.0125820237480379,-0.0655570574537537
-0.0147213303795487,-0.0166430804044651,-0.0599731045511663
-0.00656295763226185,-0.0129446180923618,-0.0600818828544635
-0.018601089863814,-0.0177671228718691,-0.0506181704676107
-0.00177671228718691,-0.00779577840296297,-0.0533738874844721
-0.0203052832821361,-0.00543891516485789,-0.0596105102068424
-0.0114942407150663,-0.0135610284777123,-0.053555184656634
-0.0163892643634384,-0.00768700009966581,-0.0537002223943635
-0.0131984341333885,-0.00699807084545048,-0.0585227271738709
-0.0105514954198243,-0.0109503491985805,-0.054026557304255
-0.00862974539490785,-0.00685303310772094,-0.0665723216178605
-0.00261067927913179,-0.00931867464912318,-0.0527574770991215
-0.000326334909891473,-0.00881104256706978,-0.0451429958683205
-0.0218644389627287,-0.0135610284777123,-0.0443090288763756
-0.0261793116601826,0.00322708966448235,-0.0616047791006237
-0.0117117973216607,-0.0114942407150663,-0.0453605524749148
-0.00424235382858915,-0.0116030190183635,-0.062946378174622
0.00239312267253747,0.000362594344323859,-0.0529025148368511
-0.0117117973216607,-0.00830341048501637,-0.0636353074288373
-0.00616410385350561,-0.012400726575876,-0.0606620338053816
-0.00362594344323859,-0.00504006138610164,-0.0310380758741223
0.00097900472967442,-0.0129083586579294,-0.057036090362143
-0.000652669819782946,-0.0135610284777123,-0.0509807648119346
-0.0175495662652748,-0.0183835332572197,-0.0483338260983704
-0.0239312267253747,-0.0191087219458674,-0.0557307507225772
-0.0121106511004169,-0.0130171369612265,-0.0606620338053816
-0.00623662272237038,-0.0123644671414436,-0.0440914722697813
-0.000145037737729544,-0.0138873633876038,-0.0662822461424015
-0.0137423256498743,-0.0120381322315521,-0.059102878124789
-0.0109140897641482,-0.0160991888879793,-0.0605532555020845
-0.00688929254215332,-0.0143224766007924,-0.054497929951876
-0.00547517459929027,-0.0122556888381464,-0.0573986847064669
-0.0056564717714522,-0.0112404246740396,-0.054969302599497
-0.00543891516485789,-0.00808585387842206,-0.0567822743211163
-0.0139598822564686,-0.0117117973216607,-0.0686028499460742
-0.0135247690432799,-0.0126182831824703,-0.0473185619342636
-0.0079770755751249,-0.013343471871118,-0.0550055620339294
-0.00580150950918175,-0.00678051423885617,-0.0534826657877692
-0.00485876421393971,-0.00250190097583463,-0.057036090362143
-0.00435113213188631,-0.0132346935678209,-0.0521410667137709
-0.011929353928255,-0.00768700009966581,-0.0573261658376021
-0.00844844822274592,-0.0108415708952834,-0.0568185337555487
-0.0193262785524617,-0.0059102878124789,-0.0519960289760414
0.000725188688647718,-0.0153014813304669,-0.0585227271738709
-0.00471372647621017,-0.01033393881323,-0.0557307507225772
-0.00217556606594315,-0.000833966991944876,-0.0555131941159828
-0.00895608030479932,-0.0079770755751249,-0.0546429676896056
-0.00482250477950733,-0.0161354483224117,-0.0593204347313834
-0.00286449532015849,-0.0129446180923618,-0.0545341893863084
0.00166793398388975,0.00543891516485789,-0.0555494535504152
-0.00337212740221189,-0.0107690520264186,-0.0573624252720345
-0.00340838683664428,-0.0153014813304669,-0.0559483073291715
-0.019543835159056,-0.00819463218171922,-0.05881280264933
-0.00895608030479932,-0.00467746704177778,-0.058631505477168
-3.62594344323859e-05,-0.00406105665642722,-0.0582326516984118
-0.00213930663151077,0.000362594344323859,-0.068022698995156
0.0028282358857261,-0.000543891516485789,-0.0579425762229527
-0.0165705615356004,-0.00997134446890613,-0.0421697222448648
-0.00228434436924031,-0.000435113213188631,-0.0388338542770853
-0.00504006138610164,0.00174045285275452,-0.040683085433137
-0.010805311460851,0.00355342457437382,-0.0512708402873937
-3.62594344323859e-05,-0.0121469105348493,-0.0650131659372679
-0.00765074066523343,-0.013996141690901,-0.0583776894361413
-0.00384350004983291,-0.0118205756249578,-0.0642879772486202
-0.0172957502242481,-0.0131259152645237,-0.0489139770492886
-0.00413357552529199,-0.0141049199941981,-0.0408643826052989
-0.00195800945934884,-0.00601906611577606,-0.0527574770991215
-0.00866600482934023,-0.0130533963956589,-0.0380724061540052
0.536530851296014,-0.00659921706669424,-0.0664635433145634
1.82624267462155,-0.0101889010755004,-0.0456143685159415
3.23742360329558,-0.0123644671414436,-0.0568185337555487
4.25018586642655,0.335182211892975,-0.0624024866581362
5.02584768780415,1.36542152242036,-0.0446353637862671
5.6299298654477,2.42278288990316,-0.0543528922141465
5.9934669550668,3.52071856451581,-0.0622574489204066
6.20707128330798,4.74784660401104,-0.0587402837804652
6.37734558740247,5.72739522520195,-0.0580513545262498
6.53663328286394,6.44834156002108,-0.0502918355577193
6.68631222820083,6.95677134963199,-0.0609158498464083
6.82228510732227,7.26486776400398,-0.0567822743211163
6.92605960866776,7.51491282384971,-0.0579063167885203
7.02667953921763,7.70415081215233,-0.0502555761232869
7.12106284704513,7.78341393582153,-0.0380361467195728
7.17432795622631,7.81285659658063,-0.0486964204426943
7.24942124493578,7.8507839649969,-0.0405743071298398
7.33861945363945,7.84164658751994,-0.0396315618345978
7.44685386542012,7.83736797425692,-0.0502918355577193
7.6046911835043,7.78239867165742,-0.0573986847064669
7.75520409583313,7.76227468554745,-0.0618948545760828
7.90357770153046,7.74845984102871,-0.0380361467195728
8.03414792492148,7.73638544936272,-0.0584502083050061
8.17650246450302,7.78138340749331,-0.0507632082053403
8.29507081509693,7.83145768644444,-0.0617135574039208
8.36809731604375,7.9007132062103,-0.0423510194170268
8.44670776989316,7.97011376371388,-0.0558757884603067
8.48586795908014,8.04168988728341,-0.0459044439914006
8.50135073758277,8.09622407666972,-0.0330323447679036
8.53518078990819,8.21754814428049,-0.0545341893863084
8.60309471060004,8.36889502360126,-0.0620036328793799
8.68783300886853,8.54761777591849,-0.0681314772984531
8.81854826999728,8.71154667898731,-0.0549330431650647
8.94077882346885,8.88113205382758,-0.0694730763724514
9.03849799926413,9.03153618785312,-0.0464845949423187
9.11199587285858,9.13153970801764,-0.0546429676896056
9.21384862417915,9.14071334492903,-0.0624750055270009
9.28538848831425,9.18404336907573,-0.0579063167885203
9.38909047079087,9.21131046376889,-0.0366945476455745
9.45613416505635,9.2287875111653,-0.0579063167885203
9.50323517038403,9.25435041244013,-0.0522498450170681
9.60345624715514,9.29140755443003,-0.0616047791006237
9.72739099404503,9.3968499897594,-0.0610971470185703
9.83783723132608,9.49830388730122,-0.0551143403372266
9.99962682776339,9.60729974720497,-0.0568910526244135
10.1125387065858,9.77151872574925,-0.0504006138610164
10.2164582456691,9.91720913329857,-0.0663547650112662
10.3542440965121,10.0460026444024,-0.0618948545760828
10.4496789279382,10.1659125940703,-0.0567822743211163
10.5356137875429,10.2587367462172,-0.0567822743211163
10.587029665568,10.3233873178102,-0.0638166046009992
10.6068273167681,10.3783928798441,-0.0422422411137296
10.6272413783536,10.4221942766384,-0.0325609721202825
10.6728557468695,10.4849956170753,-0.0459044439914006
10.7084262520477,10.5595087548339,-0.0590303592559243
10.7943611116524,10.6881934876344,-0.0572536469687374
10.8943283723825,10.8284812394533,-0.0622574489204066
