PT1 [Psi],PT2 [Psi],PT3 [Psi]
0,0,0
-0.0599368451167339,-0.0509807648119346,-0.0225171087825117
-0.0539902978698226,-0.0368395853833041,-0.0325609721202825
-0.0577612790507908,-0.0561658639357658,-0.0263606088323446
-0.0626200432647305,-0.0451429958683205,-0.0329235664646064
-0.0503280949921516,-0.0521048072793386,-0.0304216654887718
-0.0376372929408166,-0.057217387534305,-0.0319808211693644
-0.0530112931401482,-0.0496754251723687,-0.0299502928411508
-0.0602631800266254,-0.0317632645627701,-0.0346640193173609
-0.0601181422888958,-0.0531563308778778,-0.030820519267528
-0.0518509912383119,-0.0515609157628528,-0.0366945476455745
-0.0392689674902739,-0.0445265854829699,-0.0317270051283377
-0.0389788920148149,-0.0601906611577606,-0.0434388024499983
-0.0579425762229527,-0.0502555761232869,-0.0368033259488717
-0.040211712785516,-0.0585589866083033,-0.0317632645627701
-0.054969302599497,-0.0502193166888545,-0.0321983777759587
-0.0404655288265427,-0.0410456797774609,-0.0419884250727029
-0.0545341893863084,-0.0556582318537124,-0.0415170524250819
-0.0381086655884376,-0.0563834205423601,-0.0216468823561344
-0.0394865240968683,-0.0570723497965754,-0.0389426325803825
-0.046883448721075,-0.0556582318537124,-0.0387250759737882
-0.045940703425833,-0.0533376280500397,-0.0382537033261671
-0.0422059816792972,-0.035425467440441,-0.0251277880616434
-0.0584864677394385,-0.0531200714434454,-0.0402842316543808
-0.0589578403870595,-0.0592116564280862,-0.0468109298522102
-0.0444178071796727,-0.0590666186903567,-0.0371296608587632
-0.0531563308778778,-0.0497116846068011,-0.0382899627605995
-0.0393777457935711,-0.0300590711444479,-0.0398128590067597
-0.0434388024499983,-0.0577612790507908,-0.0366220287767098
-0.0509445053775022,-0.0449254392617261,-0.037020882555466
-0.0434388024499983,-0.0530112931401482,-0.0457956656881034
-0.0460132222946977,-0.0552593780749561,-0.0431849864089716
-0.0464845949423187,-0.043873915663187,-0.0347002787517933
-0.0633814913878106,-0.0488051987459914,-0.0353166891371439
-0.0409731609085961,-0.0589940998214919,-0.0228434436924031
-0.0474635996719932,-0.0393414863591387,-0.0327422692924445
-0.0509807648119346,-0.0562021233701982,-0.0292976230213678
-0.0584502083050061,-0.0573624252720345,-0.0203778021510009
-0.0416620901628114,-0.040211712785516,-0.0390151514492472
-0.0440189534009165,-0.0528299959679863,-0.0279560239473695
-0.0520322884104738,-0.0614234819284617,-0.0378548495474109
-0.0381086655884376,-0.055150599771659,-0.0224083304792145
-0.0493128308280448,-0.0365132504734126,-0.0277022079063428
-0.0530475525745806,-0.0541353356075522,-0.0454330713437796
-0.0461582600324273,-0.056093345066901,-0.0379636278507081
-0.0530112931401482,-0.0547880054273351,-0.0426410948924858
-0.0436200996221603,-0.0353892080060087,-0.0492040525247477
-0.0516696940661499,-0.0407556043020018,-0.0352441702682791
-0.0386525571049234,-0.0527574770991215,-0.0405017882609751
-0.0496754251723687,-0.0595017319035453,-0.0471735241965341
-0.061350963059597,-0.0516696940661499,-0.044816660958429
-0.0427861326302154,-0.057217387534305,-0.0242213022008338
-0.0437651373598898,-0.0656295763226185,-0.0268319814799656
-0.0499292412133954,-0.0490227553525858,-0.0292613635869354
-0.0492040525247477,-0.0579063167885203,-0.033539976849957
-0.0476811562785875,-0.0585589866083033,-0.0527574770991215
-0.0595017319035453,-0.0393777457935711,-0.0320533400382291
-0.0567097554522516,-0.0551868592060914,-0.0268319814799656
-0.0498567223445306,-0.0447078826551318,-0.0244388588074281
-0.0512708402873937,-0.0486239015738295,-0.0433300241467012
-0.0555494535504152,-0.0434750618844307,-0.0219006983971611
-0.0702345244955315,-0.0550418214683618,-0.0420609439415677
-0.0393052269247063,-0.0405380476954075,-0.0203778021510009
-0.0645055338552145,-0.053555184656634,-0.0309292975708252
-0.0506544299020431,-0.0414807929906495,-0.0407193448675694
-0.063889123469864,-0.053555184656634,-0.0282460994228286
-0.0507994676397727,-0.0589940998214919,-0.0439464345320517
-0.0513433591562585,-0.0558395290258743,-0.0170781936176538
-0.0488051987459914,-0.0442365100075108,-0.0213205474462429
-0.0709234537497468,-0.0404292693921103,-0.0479349723196142
-0.0676601046508321,-0.0519960289760414,-0.032887307030174
-0.0456506279503739,-0.043221245843404,-0.0362231749979535
-0.0420972033760001,-0.0317270051283377,-0.0270857975209923
-0.0651219442405651,-0.0394502646624359,-0.0422422411137296
-0.0587402837804652,-0.0411907175151904,-0.0310380758741223
-0.0583051705672765,-0.0392327080558416,-0.0471735241965341
-0.0439101750976193,-0.0509445053775022,-0.0420972033760001
-0.0505819110331783,-0.0596830290757072,-0.0209942125363514
-0.0649769065028356,-0.055150599771659,-0.0144312549040896
-0.0499292412133954,-0.0420609439415677,-0.0269045003488303
-0.0483338260983704,-0.0455781090815091,-0.0496029063035039
-0.0511258025496641,-0.0409369014741637,-0.0341563872353075
-0.0476086374097227,-0.0424597977203239,-0.0505093921643136
-0.0519235101071766,-0.043873915663187,-0.0266144248733713
-0.0469559675899398,-0.0399941561789217,-0.0533013686156073
-0.0533013686156073,-0.0493853496969096,-0.0216468823561344
-0.0521048072793386,-0.0410456797774609,-0.0435475807532955
-0.0502193166888545,-0.0445265854829699,-0.0426410948924858
-0.0619673734449475,-0.044816660958429,-0.0451429958683205
-0.0525399204925272,-0.0432575052778364,-0.0420972033760001
-0.0539177790009579,-0.0453968119093472,-0.049421609131342
-0.0435475807532955,-0.0390151514492472,-0.0198339106345151
-0.0507269487709079,-0.0434388024499983,-0.0252003069305082
-0.051488396893988,-0.0424960571547563,-0.0540990761731198
-0.051488396893988,-0.0462670383357244,-0.0465208543767511
-0.0473910808031284,-0.045940703425833,-0.0488777176148562
-0.0454693307782119,-0.0442365100075108,-0.053555184656634
-0.0451429958683205,-0.0460494817291301,-0.0442002505730784
-0.0456506279503739,-0.0427861326302154,-0.0416620901628114
-0.0385800382360586,-0.0385075193671938,-0.0452517741716176
-0.0626200432647305,-0.0451792553027529,-0.0451429958683205
-0.0456868873848063,-0.0378548495474109,-0.0393777457935711
0.588418101968759,-0.050364354426584,-0.0498204629100982
2.04169623401879,-0.0431124675401068,-0.0496391657379363
3.1522501918139,-0.043873915663187,-0.0445991043518347
4.16983495972438,-0.041807127900541,-0.0468109298522102
4.95216851703754,-0.0380724061540052,-0.0531200714434454
5.91837366635733,-0.0493490902624772,-0.028935028677044
6.76314596976305,-0.0419159062038381,-0.046412076073454
7.70755919898898,-0.0449616986961585,-0.0523948827547976
8.54395557304082,-0.0360056183913592,-0.0466296326800483
9.49975426467851,-0.0657383546259157,-0.0390514108836796
10.2895935249192,-0.024148783331969,-0.0284273965949906
11.1912568809493,-0.0046412076073454,-0.0105877548542567
11.9307680461978,0.000652669819782946,0.00906485860809648
12.7980937178205,0.00616410385350561,0.0193625379868941
13.2449187283308,0.00192175002491645,0.0147575898139811
13.6577323893435,-0.00547517459929027,0.0313281513495814
14.1571335797808,-0.000507632082053403,0.0172232313553833
14.6356855954194,-0.00518509912383119,0.72551502355761
15.0487168130387,-0.0203778021510009,1.88393143480348
15.3916585439002,-0.00583776894361413,2.87870901845598
15.6835832505153,-0.00634540102566754,3.88842548909463
15.9640862352843,0.679066688049723,4.87399317640131
16.132873902567,1.831899146393,5.43137320249595
16.4415504678899,3.01950440235694,5.80890643380595
16.7093263911731,4.0823046850046,6.10463838103649
16.9924763146556,5.03415109828916,6.39166806400326
17.2152905392426,5.76053634827315,6.61285061404081
17.445936801667,6.23995859033816,6.81198742794348
17.6275965681733,6.42908780033748,6.97345068947089
17.7868117447659,6.60349567995726,7.12642924334113
18.0069790306393,6.82772402248713,7.30090964182977
18.3205143601762,7.02156695896267,7.48974877635363
18.5794429814578,7.19825918295168,7.65066814636456
18.7960568427569,7.38358115233561,7.82652640336164
18.9875791754288,7.50490521994637,7.94926458891526
19.177034720338,7.64997921711035,8.03113839186359
19.2840000519135,7.77964295464056,8.13186710071676
19.5441614939659,7.9284879329855,8.25877512123011
19.7645463364459,8.07747794906818,8.37857629259471
19.9801449335809,8.22233438962556,8.49460648277835
20.2108274554397,8.37146944344596,8.57840203575159
20.4135176939168,8.4834748364076,8.66016706039662
20.5389390776184,8.4885148977937,8.75491296256844
20.6472460082679,8.49518663372926,8.79896817540379
20.8708579404125,8.55813301190389,8.8980652097075
21.1504544393206,8.68478721637621,9.01735874899005
21.3869022112542,8.82155780305517,9.08744823574786
21.6064530867423,8.97406498427778,9.19495745883988
21.7667923058023,9.08393107060791,9.29590372429964
21.9627745489093,9.13850151942865,9.38002561218278
22.0781158098388,9.2081921524077,9.4415216129801
22.1965028632605,9.2310355961001,9.49779625521917
22.3799030826195,9.34195320602877,9.58804598752138
22.6182000857091,9.46965893409964,9.68703424352179
22.8291574752368,9.57288954392864,9.77231643330676
23.0546548979718,9.68061632362726,9.8652856231914
23.2195628057703,9.78275915042329,9.96866127075813
23.3953485438985,9.86336387316648,10.0420141066148
