PT1 [Psi],PT2 [Psi],PT3 [Psi]
0,0,0
-0.0355705051781706,-0.0320895994726615,-0.00942745295242034
-0.0340838683664428,-0.0245113776762929,-0.00645417932896469
-0.0563109016734953,-0.0371659202931956,-0.00500380195166926
-0.034482722145199,-0.0290438069803411,0.0153377407648992
-0.0527937365335539,-0.0332861608089303,0.00478624534507494
-0.0472460430653988,-0.0311831136118519,-0.0175133068308424
-0.051959769541609,-0.0369483636866012,-0.00572899064031697
-0.0529025148368511,-0.0477536751474522,0.00369846231210336
-0.0335762362843894,-0.0255991607092645,-0.00250190097583463
-0.0343014249730371,-0.0253816041026701,-0.0133072124366856
-0.0405380476954075,-0.0331773825056331,0.0077232595340982
-0.0352079108338467,-0.0301315900133127,-0.0187823870359759
-0.0401391939166512,-0.033068604202336,-0.0150839247238725
-0.0354979863093058,-0.0291888447180707,-0.00888356143593455
-0.028935028677044,-0.0394140052280035,-0.00271945758242894
-0.0453605524749148,-0.0473910808031284,-0.00964500955901465
-0.0478987128851818,-0.0420972033760001,-0.0151927030271697
-0.0401754533510836,-0.0310743353085547,-0.0227709248235384
-0.0290075475459087,-0.0351716513994143,-0.0262880899634798
-0.0522498450170681,-0.0364769910389802,-0.0196526134623532
-0.039087670318112,-0.0439464345320517,-0.0109503491985805
-0.0360056183913592,-0.0284273965949906,-0.0129808775267942
-0.0486239015738295,-0.0232785569055918,-0.0249827503239139
-0.0405380476954075,-0.0357880617847649,-0.0237136701187804
-0.0293701418902326,-0.0316907456939053,-0.0253090852338054
-0.0339750900631456,-0.0391964486214092,-0.0191449813802998
-0.038616297670491,-0.0298052551034212,-0.00522135855826357
-0.0419884250727029,-0.0247651937173196,-0.0261067927913179
-0.042278500548162,-0.0266506843078036,-0.0142862171663601
-0.0424960571547563,-0.0306754815297985,-0.0296964768001241
-0.0530112931401482,-0.0328147881613093,-0.00398853778756245
-0.0583776894361413,-0.0297327362345564,0.00311831136118519
-0.0367670665144393,-0.033068604202336,-0.0177671228718691
-0.0461582600324273,-0.0460132222946977,-0.00203052832821361
-0.0403567505232455,-0.0444903260485375,-0.0187098681671111
-0.0370934014243308,-0.0362594344323859,0.000616410385350561
-0.0415533118595143,-0.0320533400382291,-0.0213568068806753
-0.0417346090316762,-0.0448891798272938,-0.0126182831824703
-0.0453968119093472,-0.0320533400382291,-0.0249464908894815
-0.0449616986961585,-0.0295876984968269,-0.00493128308280448
-0.0438376562287546,-0.0270132786521275,-0.0182384955194901
-0.0427136137613506,-0.0305667032265013,-0.0105877548542567
-0.0451429958683205,-0.0362956938668183,-0.00271945758242894
-0.0387250759737882,-0.0289712881114763,-0.0215018446184048
-0.0445628449174023,-0.0364044721701155,-0.002066787762646
-0.0398128590067597,-0.0311105947429871,-0.0248377125861844
-0.0485151232705324,-0.0341926466697399,-0.0109503491985805
-0.0467746704177778,-0.0374559957686547,-0.0167881181421947
-0.0391601891869768,-0.0289712881114763,-0.0141774388630629
-0.038616297670491,-0.0345189815796314,-0.00112404246740396
-0.0442002505730784,-0.0250552691927787,-0.0229159625612679
-0.0390514108836796,-0.0353166891371439,-0.0224445899136469
-0.0478987128851818,-0.0354617268748734,-0.0233873352088889
-0.0416620901628114,-0.0319083023004996,-0.0198701700689475
-0.0406468259987046,-0.033068604202336,-0.0214655851839725
-0.0430036892368097,-0.0507269487709079,-0.0199064295033799
-0.0410819392118932,-0.0382899627605995,-0.0271945758242894
-0.0443090288763756,-0.0329598258990388,-0.00384350004983291
-0.0393052269247063,-0.0445265854829699,-0.011929353928255
-0.0355705051781706,-0.0296239579312593,-0.0295514390623945
-0.0472460430653988,-0.0484063449672352,-0.0226621465202412
-0.0406468259987046,-0.034011349497578,-0.0329235664646064
-0.0429311703679449,-0.0298052551034212,-0.0140686605597657
-0.0439826939664841,-0.0358968400880621,-0.00362594344323859
