PT1 [Psi],PT2 [Psi],PT3 [Psi]
-0.025381604,-0.034917835,-0.030929298
-0.041190718,-0.032959826,-0.029732736
-0.037492255,-0.055223119,-0.032633491
-0.03974034,-0.038362482,-0.04231476
-0.018746128,-0.039994156,-0.030602963
-0.039160189,-0.044925439,-0.047499859
-0.028572434,-0.035824321,-0.039051411
0.365748915,-0.052648699,-0.028101062
1.796292382,-0.028318618,-0.032089599
3.282929194,-0.048188788,-0.033104864
4.082377204,-0.046919708,-0.033286161
4.958006286,-0.036150656,-0.032560972
5.906806907,-0.052866255,-0.030421665
6.824279376,-0.047572378,-0.049602906
7.703498142,-0.034990354,-0.029841515
8.605197758,-0.044635364,-0.030276628
9.492647416,-0.040247972,-0.033612496
10.22389143,-0.040646826,-0.034228906
10.39130124,-0.006526698,-0.034917835
11.70998435,0.021356807,0.001087783
12.43190969,0.072083756,0.041553312
13.24792826,0.094310789,0.074585657
13.97728678,0.120018728,0.109249676
14.5380752,0.108451968,0.12375345
14.99762727,0.102686718,0.144675143
15.38433414,0.097755435,0.135646544
15.67636762,0.09039477,0.148373606
15.90132115,0.081765025,0.143406063
16.07050768,0.0666811,0.159867846
16.36721863,0.058740284,0.159577771
16.66936849,0.053156331,0.163239974
16.95795733,0.060698293,0.169041483
17.16387466,0.035389208,0.170056747
17.35372906,0.037673552,0.149606426
17.53973996,0.034772798,0.16091937
17.71113831,0.024837713,0.17052812
17.82894521,0.005837769,0.167047214
18.01698663,0.015881632,0.162043412
18.24070734,0.003589684,0.141411794
18.49499476,0.018274755,0.154646488
18.72393683,0.013234694,0.146379337
18.91230459,0.014576293,0.143659879
19.06608085,0.013415991,0.160665554
19.20952317,0.011312944,0.152289625
19.3220362,0.016461783,0.15580679
19.50224559,0.010370198,0.154428931
19.75631544,-0.005656472,0.144131252
19.92296381,0.012473245,0.150512912
20.1156827,0.008049594,0.233945871
20.29038065,0.005475175,0.974218484
20.4437218,0.009572491,2.065446164
20.57817179,-0.001450377,2.826241617
20.71737175,0.733492099,3.557920744
20.88695713,1.826786566,4.097714945
21.12141063,2.904344439,4.658575876
21.34549394,3.602120995,4.933930022
21.53814031,4.16533879,5.112543996
21.71744322,4.521261398,5.206564709
21.85363365,4.843825327,5.287640804
21.97967145,5.06928649,5.349970772
22.0596235,5.279953804,5.395222546
22.23889014,5.444535377,5.41422249
22.49970425,5.603895592,5.484565793
22.71784101,5.623548205,5.537214492
22.959909,5.649401182,5.609080691
23.12275012,5.689359078,5.669597687
23.30002249,5.715792206,5.734610853
23.44096291,5.733160475,5.782944679
23.56747208,5.74954974,5.831894915
23.74608605,5.805353009,5.880446298
24.00236774,5.879177218,5.943682752
24.19486907,5.952602572,6.011016521
24.40176541,6.033424852,6.09187506
24.58998813,6.095573522,6.1354589
24.76566509,6.143109641,6.180819453
24.87368195,6.14767833,6.212872793
24.98989343,6.165880566,6.26305585
25.1750341,6.220994906,6.304645421
25.43088067,6.28611685,6.363494483
25.64535523,6.350296049,6.413278687
25.84122869,6.436375947,6.462845334
25.99293817,6.481337645,6.504942537
26.12252939,6.501099037,6.547329816
26.24182293,6.511396716,6.56502442
26.36967369,6.53297108,6.64642685
26.54781629,6.561942368,6.693346558
26.87143174,6.643163501,6.784321479
27.00261838,6.692512591,6.798571437
27.20316931,6.770325338,6.854012112
27.33250671,6.828376692,6.882439509
27.48428871,6.884651335,6.911990948
27.57820064,6.919170316,6.923557708
27.79448817,6.982624326,6.994988794
28.00395892,7.074832068,7.033133719
28.26919668,7.151411994,7.107102965
28.44944233,7.198005367,7.171717277
28.64796273,7.229949929,7.213886999
28.79720657,7.249457504,7.269363934
28.96283966,7.287276094,7.286768462
29.17629895,7.356023982,7.370636534
29.44570655,7.448993172,7.428506592
29.67885471,7.536559706,7.486666724
29.91649905,7.586488947,7.526987216
30.10490307,7.624887688,7.56578481
30.26364687,7.641313212,7.617345726
30.38718277,7.673765406,7.661437198
30.49849923,7.69918327,7.687398953
30.70525053,7.753572421,7.75621936
30.90779573,7.804226851,7.81967337
31.1390584,7.87224955,7.871198027
31.32089946,7.918117735,7.925732216
31.52232062,7.966669117,7.949373367
31.67156445,8.004415189,8.002638476
31.81196098,8.042523854,8.048760477
32.0047524,8.112830898,8.111235483
32.2803241,8.211565338,8.212761899
32.49001241,8.251740791,8.271357145
32.70426941,8.290792202,8.327704306
32.87331089,8.315774952,8.353013391
33.03604323,8.349786302,8.406604835
33.13775094,8.379120184,8.434923454
33.24399109,8.419259378,8.470675256
33.42304017,8.503345006,8.455627591
33.6677551,8.556211262,8.502873634
33.8881762,8.585472625,8.509073997
34.11432629,8.593449701,8.551461276
34.32876459,8.636598428,8.578692111
34.50241102,8.657556381,8.644502985
34.62870263,8.652407541,8.671153669
34.72747333,8.642109862,8.703207009
34.92943838,8.661037287,8.796973907
35.14003317,8.705926467,8.854191294
35.357481,8.784428142,8.917572785
35.57369601,8.850746648,8.952055508
35.71525284,8.924389559,8.996255758
35.89375804,8.956116564,9.021202249
36.02751909,8.992666074,9.062574264
36.12473063,9.020839655,9.106339401
36.29250304,9.075337585,9.183100624
36.52891455,9.119537835,9.2564172
36.74871924,9.185167412,9.286693828
36.93795723,9.260333219,9.356311942
37.12821048,9.304460951,9.393332825
37.28358216,9.339632602,9.420237325
37.40447111,9.372882504,9.493082529
37.50295174,9.398844259,9.509072939
37.69719353,9.477781047,9.489275288
37.91355357,9.557152949,9.542866732
38.13085636,9.5975097,9.566471624
38.29721465,9.620824516,9.590765445
38.45566838,9.649469469,9.639933238
38.62692168,9.677606791,9.682646852
38.74820949,9.717528428,9.730908159
38.84614623,9.733337541,9.768074079
39.08611116,9.828989929,9.857272288
39.29413154,9.886062279,9.925222468
39.57021087,9.930443827,10.00618979
39.72108638,9.96296854,10.02138249
39.85930734,9.973556294,10.06547396
39.99111039,9.988132587,10.09071053
40.2438749,10.0679396,10.14140122
40.52075195,10.16127139,10.24648106
40.81419955,10.23560323,10.34427275
41.054237,10.26229017,10.37273641
41.29971338,10.2990935,10.42614655
41.4429744,10.33020409,10.4718697
41.56223168,10.35261242,10.51287912
41.7865688,10.43212936,10.58249724
42.06605652,10.52324932,10.65777182
42.4303188,10.63075854,10.72517811
42.63221133,10.62996084,10.76854439
42.91601392,10.66890347,10.82133813
43.24180494,10.73707121,10.8950173
43.44489403,10.78290313,10.9757308
43.81561049,10.93501146,11.09147092
44.18650825,11.02500737,11.15601271
44.52295954,11.08954917,11.25942462
44.95600596,11.18262714,11.38705783
45.23019981,11.28864972,11.45812632
45.55319885,11.37516473,11.5064964
45.92485805,11.47331902,11.60787778
46.19865304,11.53931119,11.67923635
46.44710269,11.61110487,11.72677247
46.67231003,11.68953403,11.76440976
46.85096027,11.7603487,11.79631806
47.10822096,11.85886559,11.87637889
47.40968189,11.93613444,11.94041306
47.6770227,12.02170671,12.02515135
47.92775669,12.07033061,12.0770386
48.11253477,12.10862057,12.12606136
48.30394832,12.13400218,12.16852116
48.42719414,12.17051543,12.20532448
48.54960599,12.20238747,12.24466597
48.76201376,12.24491979,12.32886038
48.99215239,12.31083944,12.40605671
49.240457,12.38016748,12.46410807
49.46131321,12.44677606,12.5147625
49.68575911,12.50076636,12.54522042
49.81589422,12.5364819,12.59540348
49.9572335,12.56393029,12.64540524
50.20245605,12.62858086,12.71690884
50.38839443,12.67560935,12.7476931
50.58075073,12.72949087,12.80632461
50.75773303,12.78047163,12.8479867
50.942076,12.81596962,12.88848849
51.13961739,12.85077868,12.93116584
51.29846998,12.89012016,12.95270395
51.52900746,12.98457599,12.99907976
51.81498562,13.08849553,13.05252617
52.04516051,13.13120914,13.12011376
52.24984502,13.1687014,13.15738845
52.44205628,13.19321277,13.19698376
52.5728078,13.22595504,13.23705043
52.68912807,13.25427366,13.27541291
52.79855904,13.29560942,13.31460936
52.97869591,13.37327713,13.36888973
53.30096976,13.4252369,13.44604981
53.56040602,13.46700776,13.50580536
53.75040545,13.48452107,13.55834528
54.01977679,13.51929387,13.6118642
54.26634094,13.57429943,13.67234494
54.51780012,13.65461408,13.75019395
54.7682803,13.73576269,13.79533694
54.97575678,13.78859269,13.83420706
55.17387833,13.830146,13.89356375
55.44567905,13.87811723,13.97028871
55.71646451,13.9494758,14.01684583
56.03587386,14.02953663,14.12562413
56.2604648,14.10919861,14.19335675
56.44063793,14.15564694,14.20749793
56.61805534,14.20245787,14.26496914
56.8411959,14.25383749,14.33444221
57.06284982,14.31301289,14.37940391
57.27181295,14.3928199,14.44358311
57.54209077,14.48897992,14.47987881
57.76160539,14.52531188,14.52175845
57.93913158,14.55649499,14.57727165
58.12057379,14.59003497,14.62179823
58.26684435,14.62640318,14.63691842
58.38443369,14.64968174,14.7031644
58.57164115,14.70947354,14.76611078
58.82310033,14.75700966,14.80795417
59.06752518,14.80802669,14.85026893
59.29806266,14.86082042,14.89381651
59.47399344,14.90099588,14.92318665
59.58077747,14.92637748,14.9710491
59.70612634,14.96517508,15.02228369
59.91360282,15.06554119,15.08925486
60.13242851,15.14549324,15.17250652
60.33526378,15.19843202,15.20669917
60.56235662,15.2377735,15.25949291
60.75293621,15.27087837,15.29103861
60.90178119,15.30550613,15.33770451
61.05240288,15.33850221,15.3776624
61.19744061,15.37410898,15.38763375
61.36887522,15.46298085,15.41660503
61.60068178,15.55624012,15.42994851
61.80286439,15.60007777,15.47045029
61.99021689,15.64373413,15.50159715
62.16676407,15.68213287,15.54170008
62.3188724,15.71773964,15.56563131
62.43037016,15.76067081,15.61135446
62.54513127,15.76378912,15.64826656
62.72766127,15.77064215,15.69979122
62.93789347,15.80124512,15.75867654
63.13532609,15.8294187,15.80878708
63.36096855,15.87709985,15.86466287
63.53751573,15.90371428,15.89936314
63.69136451,15.93855959,15.9652828
63.83593088,15.97739345,16.0102445
63.94405651,16.00502314,16.07518514
64.12974108,16.13776893,16.14404181
64.34718891,16.24147091,16.24484304
64.55742111,16.29401083,16.29459098
64.73367822,16.34006031,16.32573783
64.92273491,16.36732741,16.38966322
65.07128981,16.41011354,16.43317454
65.22009853,16.45094166,16.46134812
65.32039213,16.46714963,16.46602559
65.50408242,16.44785961,16.47316869
65.7219291,16.48459042,16.45728706
65.95699902,16.50377166,16.48168966
66.1633152,16.54021239,16.50649111
66.35759325,16.58535538,16.54590512
66.58751432,16.6344144,16.60725608
66.67471826,16.67089139,16.64253651
