SG1 [strain],SG2 [strain],SG3 [strain]
-0.177316933,0.029268647,0.464297721
-0.002327446,-0.019223786,0.421018664
-0.161800624,-0.091962435,0.386395419
-0.143698263,0.012815857,0.489399574
-0.125595903,-0.028749085,0.556049321
-0.083357061,-0.064252473,0.573360944
-0.116975731,0.11499634,0.560377227
0.013188863,0.11499634,0.399379136
0.069219979,-0.027017212,0.444389355
0.022671052,0.033598328,0.447851679
-0.003189464,-0.109281161,0.559511646
-0.071288821,-0.187215427,0.46343214
0.222659037,-0.163835147,0.439195868
0.431267194,-0.377721412,0.279063358
0.5269511,-0.433141335,0.177790365
1.327765058,-0.565629589,0.004674138
4.166387623,-1.818639409,-0.757902842
21.76015821,-14.35479917,-4.529239847
23.66952626,-21.76201825,-3.133057476
27.47619411,-26.56017126,-3.237792793
29.95535551,-29.52340527,-2.483871625
31.48802205,-31.03792785,-2.077914073
32.8853519,-31.85104203,-1.678015588
34.02321457,-32.70225741,-1.329186391
34.89212789,-33.16033771,-1.117119013
35.34641094,-33.37508991,-0.760499585
35.41364828,-33.3915427,-0.441965728
35.48433369,-33.32573154,-0.25326904
36.43944872,-33.59676961,-0.449755958
37.2212983,-34.1786788,-0.529389422
38.11607213,-34.54496985,-0.504287569
38.57725132,-34.81167823,-0.195275104
38.83930454,-35.20741112,0.060936912
39.12549424,-35.31392128,0.281660101
39.34272257,-35.72697289,1.007882674
39.55736485,-35.87591394,1.437210916
40.1771552,-36.10538706,1.494339271
40.91590392,-36.40326914,1.126467289
41.89256938,-37.00076519,0.824379473
42.60459557,-37.47962796,0.92132456
43.52695395,-37.9792732,0.91353433
44.05881855,-38.4945053,0.985377564
44.43034795,-38.9525856,1.056355217
44.86394259,-39.04524078,1.009613836
45.45011427,-39.25999298,1.166284021
46.4552263,-39.88693086,0.805336688
47.35775829,-40.52858966,0.731762291
48.01547739,-41.04901737,0.66165022
48.9042171,-41.37460942,0.708391601
49.41625531,-40.37531893,-0.159786278
48.63009564,-34.89394218,-2.425877689
46.99743511,-27.11783424,-4.61579796
46.05697437,-20.40942575,-6.493243442
45.66044646,-14.60678663,-8.422623792
46.1190396,-11.37424644,-9.761677808
46.85520227,-9.036218438,-10.61254406
47.62325958,-8.038659824,-11.36300291
48.26115229,-7.545076136,-11.54996843
48.60854521,-7.102582688,-11.57939819
48.90249307,-7.015123122,-11.45648567
49.28609071,-7.092191453,-11.49110892
50.16534823,-7.379682303,-11.46081358
51.00753901,-7.77541519,-11.47120055
51.88765855,-8.107068792,-11.46600706
52.42469525,-8.294111032,-11.23835922
53.21257895,-8.698503282,-11.20200482
53.64013947,-8.951356681,-10.97262582
53.95046566,-9.309854307,-10.76142402
54.70645472,-9.702989386,-10.55628129
55.63053714,-10.33165914,-10.43509993
56.47790002,-10.80879004,-10.50953991
57.41060261,-11.3448046,-10.26890835
58.10194038,-11.73101219,-10.1979307
58.91654662,-12.35188852,-10.04299168
59.57771379,-12.87058436,-9.718398751
60.14836916,-13.64040172,-9.411117448
61.02935072,-14.22490872,-9.409386286
62.1577312,-15.1930255,-9.083927779
63.25938915,-15.97496598,-8.902155741
64.20933208,-16.80106921,-8.736829744
65.21703016,-17.34227939,-8.613051642
66.02646429,-18.11382863,-8.415699143
66.63935851,-18.83515356,-8.142175504
67.40913985,-19.81106377,-7.633213797
68.1797832,-20.29512216,-7.492989653
69.43488021,-20.77744868,-7.515494762
70.40809761,-21.2909489,-7.601187295
71.41838174,-21.8157063,-7.593397065
72.53296995,-22.55521589,-7.467022219
73.46222446,-23.09729201,-7.3761362
74.13976997,-23.73462113,-7.304292965
75.3862468,-24.50270662,-7.145026037
76.71978738,-25.23961841,-7.451441758
78.02401937,-25.90119374,-7.518957087
79.16015801,-26.38352026,-7.61243985
80.56179794,-27.11783424,-7.689476571
81.6238031,-27.69281594,-7.548386846
82.66339581,-28.2574064,-7.506838951
84.02796901,-28.85750026,-7.6055152
85.61408061,-29.8723776,-7.776900265
87.29932419,-30.66990492,-7.90240953
88.94405297,-31.56268525,-7.871248609
90.27586951,-32.29093767,-7.962134628
91.95335493,-33.28070286,-7.874710933
92.91967619,-33.84096364,-7.843550013
93.9540968,-34.4912818,-7.692938895
95.13764638,-35.02729637,-7.722368654
96.56773288,-35.50442727,-7.945688586
98.4253799,-36.20843347,-8.136982017
99.82270974,-36.73405681,-8.445994482
101.2777947,-37.49001919,-8.486676796
102.5346158,-38.04681623,-8.690953944
103.7767825,-38.88937225,-8.446860064
104.9672283,-39.00973739,-8.775780895
106.5128251,-39.52843323,-9.063153832
107.9480837,-39.9475464,-9.247522613
109.5100588,-40.62557452,-9.487288588
110.9418693,-41.29667515,-9.59548623
112.2960983,-41.97816702,-9.555669498
113.4977502,-42.4596276,-9.563459728
114.4132125,-43.0848336,-9.516718346
115.39505,-43.5619645,-9.642227611
117.0596052,-44.44521952,-9.764274551
118.8698413,-45.21157315,-10.02221773
120.6300804,-46.13725905,-10.15897955
122.1903315,-47.22141129,-10.11656607
123.5954195,-47.91242845,-10.43509993
124.8143117,-48.62509402,-10.36498786
125.9435542,-49.31004964,-10.45241155
127.1383101,-49.96209967,-10.58830779
128.8002792,-50.52582419,-10.78825703
130.3812187,-51.25061287,5039.811016
132.0638762,-51.76844278,-11.35261593
133.6896406,-52.35208384,-11.64518236
135.2826483,-52.96603268,-11.72308466
136.6584278,-53.76356001,-12.11605849
137.8221509,-54.20865126,-12.06239246
139.0919023,-54.91352341,-12.39304446
140.7754218,-55.31445191,-12.53673093
142.6028982,-55.90935015,-12.99289218
143.995056,-56.54841113,-13.11493912
145.6311646,-57.19699742,-13.4187581
146.8931577,-57.8836849,-13.55725108
148.0241242,-58.30452994,-13.61005153
149.1335403,-58.84487419,-13.81173194
150.6075897,-59.52809793,-13.81432868
152.3359342,-60.43213542,-14.14411509
153.984111,-61.36301694,-14.33627411
155.5969451,-62.29130065,-14.54055125
157.2528801,-63.01868714,-14.89111161
158.8941608,-63.72962084,-15.01662088
160.2535619,-64.38426868,-15.09019527
161.4543519,-65.09606831,-15.11010364
163.4404394,-66.03127951,-15.34727287
165.0877543,-66.62964149,-15.57751745
167.733285,-67.56658457,-16.10984985
169.0590674,-68.05064296,-16.39029814
170.2202045,-68.41866588,-16.71835339
171.4537511,-68.84903622,-16.90358775
172.8174623,-69.24303724,-17.20307882
174.6957977,-69.85438826,-17.57181639
176.9060098,-70.51423172,-18.22706131
178.7972755,-71.19399171,-18.67197001
181.0557605,-72.11101825,-18.94203133
182.2220697,-72.563037,-19.19651218
183.3280377,-73.25838384,-19.08744896
184.8210515,-73.60302649,-19.53322324
186.7140412,-74.32002174,-19.90975103
191.1448095,-76.35583797,-20.36158439
193.9239529,-77.75432509,-20.45939505
195.8591814,-78.72157593,-20.64636058
199.2451849,-80.25514911,-21.21764413
200.3804615,-80.69244694,-21.36046502
202.6492907,-81.47785116,-21.84951836
204.9051897,-82.30741814,-22.64844974
207.6351981,-82.88672952,-23.53220808
212.2400939,-84.59868558,-24.70247378
214.05464,-85.27324995,-24.69987703
216.3217452,-86.24656235,-25.31270848
219.5284491,-87.53507556,-26.27869702
221.8869281,-88.1923212,-26.76688479
224.1617914,-89.105884,-27.30787299
226.1306387,-89.95969719,-27.46108086
228.0348346,-90.92088647,-27.95099978
229.9364445,-91.79115245,-28.20634621
232.5242201,-92.86058378,-28.75599023
234.9223518,-93.86766769,-29.20609242
237.2049733,-94.64701036,-29.71938204
239.1919229,-95.25576357,-30.20583863
241.1495639,-96.04203373,-30.47936227
242.6753343,-96.78154333,-30.6983543
244.1812783,-97.35219535,-30.78231567
245.9484136,-97.91332207,-31.04631792
247.6517595,-98.29779778,-31.63145076
249.6904301,-98.88317072,-32.00191949
251.6566913,-99.72572673,-32.58618676
253.751393,-100.5475003,-33.00253128
255.4409467,-101.1562535,-33.27605492
257.0563669,-101.8065717,-33.38684931
259.2269262,-102.8829305,-33.8871552
261.0044056,-103.4276044,-34.31475228
262.5732768,-103.92292,-34.54586244
264.2947251,-104.5282094,-34.82371399
265.9782447,-105.1170461,-35.09637205
267.4600522,-105.7154081,-35.39413196
268.804799,-106.3198316,-35.83904066
270.6141731,-106.8800924,-36.15670894
272.6502576,-107.605747,-36.54016138
274.57428,-108.1720694,-37.14520259
276.431065,-108.9739264,-37.31312533
278.2188886,-109.577484,-37.88008098
279.6662154,-110.1628569,-38.06531534
280.9954459,-110.6564406,-38.28690411
282.0471069,-110.9586524,-38.3743278
283.5280524,-111.168209,-38.75431792
286.3744331,-111.9995078,-39.43726144
289.3914932,-113.1044425,-40.05268963
292.0844349,-114.1920585,-40.4621095
294.2679244,-115.3454856,-40.89922798
296.2755624,-116.0841293,-41.04810793
298.7323114,-117.1319122,-41.72758912
300.8330472,-118.0246925,-42.09459552
302.8932683,-118.929596,-42.62606234
304.9483172,-119.6838265,-42.88140877
307.0361228,-120.6086465,-43.57041136
308.90239,-120.3523293,-44.22305953
311.4358585,-120.6623345,-45.31801967
313.819336,-121.1368676,-45.75773489
315.4649268,-121.6373788,-46.09790827
317.2441302,-122.382084,-46.46318351
320.4525582,-123.2973787,-46.95396801
321.8110973,-123.8255998,-47.22316375
323.2394597,-124.3131219,-47.47504786
325.5401836,-125.0335809,-48.17789974
327.6831583,-125.7497102,-48.62973309
329.4546036,-126.2787973,-49.30228963
331.5699937,-126.9819376,-49.51349143
333.1492092,-127.8435442,-49.87097644
334.8370388,-128.458359,-50.010335
336.4740094,-129.0220835,-50.51410322
338.3247603,-129.2922556,-50.93910356
340.4461846,-130.0967104,-51.49220991
342.7891473,-131.0596316,-51.90682327
345.0734928,-131.9697307,-52.29200687
346.639778,-132.427811,-52.53436959
348.1008971,-133.1465381,-52.81654904
349.8197594,-133.8886455,-53.05198711
352.0558319,-134.7467884,-53.47958419
353.8962386,-135.5010189,-53.74791434
356.1995485,-136.4890522,-54.23956443
358.1951183,-137.4467777,-54.72688661
360.2156865,-138.109219,-55.03157117
361.9707535,-138.9413838,-55.3466427
363.5180743,-139.3847432,-55.66171423
365.2291784,-140.0203404,-55.98717274
367.1971636,-140.9442944,-56.11354758
369.3763431,-141.8457341,-56.81639947
371.2736429,-142.5869756,-56.83890458
372.9063034,-143.2381597,-57.25871143
374.5975811,-144.0599332,-57.4344244
376.1112833,-144.3439603,-57.82220475
377.3586221,-145.0670171,-57.96502563
378.7447458,-145.6714407,-58.19700138
380.3239612,-146.3156973,-58.44109526
382.116957,-146.9634176,-58.88773512
383.2298211,-146.2403608,-59.590587
384.5038825,-145.5389524,-60.11253243
385.7719098,-145.8186498,-60.57302159
387.039075,-145.9026457,-60.84567965
388.0450491,-146.1451078,-61.07159633
389.3682454,-146.2845236,-61.30357207
390.4724895,-146.6031881,-61.74069054
392.2525549,-146.9244505,-62.08605742
393.5679931,-147.1166883,-62.52836938
395.1204861,-147.611138,-62.82526371
396.5471245,-147.9990774,-62.96808459
397.7237779,-148.4407049,-63.2615166
398.9900812,-149.0503241,-63.43809515
400.2934512,-149.6590773,-63.38875702
402.091619,-150.5154883,-63.8622299
403.7656563,-151.390084,-63.96609964
405.6241654,-152.0802352,-64.32704697
407.46371,-153.1358115,-64.57893108
409.772192,-154.3507202,-64.83947101
410.9135028,-154.7126815,-64.91737331
412.932347,-155.7154358,-65.24456298
414.7055163,-156.609082,-65.49385034
417.5518971,-157.8101357,-65.63320891
418.4302926,-158.199807,-65.45316803
420.762049,-159.3350495,-65.56309684
421.7188881,-159.762822,-65.61676287
422.8041677,-160.2087792,-65.68947168
424.6333682,-160.8348512,-66.0556125
427.3969952,-162.046296,-66.61910582
429.4210116,-162.686223,-66.8631997
430.5545642,-163.2222375,-67.0190043
431.7269075,-163.7781686,-67.00861733
432.7113311,-164.2795457,-67.12373962
433.7216153,-164.6995248,-67.03458476
435.2094569,-165.4866609,-66.76712019
435.6809803,-165.7074747,-66.64074535
436.0878524,-165.8243761,-66.67277185
436.6429915,-165.8746004,-66.27806685
436.920561,-166.1179285,-65.90153906
437.0895164,-166.1811418,-65.96905439
437.071414,-166.2686014,-65.70764888
437.4808722,-166.2287683,-65.58646753
437.5274211,-166.3023729,-65.27399274
437.5929344,-166.4192743,-65.24110065
437.5006986,-166.3456697,-65.16579509
437.4972505,-166.2867861,-65.07664024
437.3877743,-166.342206,-64.8671696
437.5041466,-166.1993265,-64.83168078
437.5834522,-166.2668695,-64.56075388
437.5472475,-166.2556124,-64.56854411
437.5481095,-166.1343813,-64.6057641
437.6334492,-166.1750803,-64.43091671
437.5196629,-166.219243,-64.36080464
437.6274151,-166.0408602,-64.15912423
437.4162209,-166.137845,-64.26385955
437.469666,-166.2027903,-64.18768841
437.4076007,-166.0850229,-63.97908336
437.5937964,-166.137845,-63.99899172
437.4800102,-166.1898012,-64.01284102
437.5946584,-165.7966661,-63.82847224
437.421393,-165.961194,-63.67007089
437.1007226,-165.8165827,-63.5367714
436.9783162,-165.5975008,-63.43203608
436.7826383,-165.6269426,-63.26497892
436.7024707,-165.6096239,-63.32643518
436.5998906,-165.6407976,-63.12129245
436.6869544,-165.7273912,-63.0182883
