PT1 [Psi],PT2 [Psi],PT3 [Psi]
0,0,0
-0.03814492502287,-0.0461220005979949,-0.0285724343327201
-0.0266144248733713,-0.0519235101071766,-0.0417346090316762
-0.033539976849957,-0.0468471892866426,-0.0391239297525444
-0.0349903542272524,-0.0460132222946977,-0.0407556043020018
-0.0275934296030457,-0.0413720146873523,-0.0389063731459501
-0.0345915004484962,-0.0487326798771267,-0.0379273684162757
-0.0334311985466598,-0.0469922270243721,-0.0358968400880621
-0.0328147881613093,-0.0390151514492472,-0.0398491184411921
-0.0342651655386047,-0.0435475807532955,-0.0356792834814677
-0.0337212740221189,-0.0416620901628114,-0.0327422692924445
-0.028753731504882,-0.0430399486712421,-0.0347727976206581
-0.0220094767004583,-0.0489139770492886,-0.0208491747986219
-0.0345552410140638,-0.0348453164895229,-0.0401754533510836
-0.0306029626609337,-0.0505819110331783,-0.0367670665144393
-0.0362956938668183,-0.0456868873848063,-0.0307117409642309
-0.0328147881613093,-0.037020882555466,-0.033539976849957
-0.0350991325305496,-0.039740340137895,-0.0259980144880207
-0.0434388024499983,-0.0494941280002068,-0.0303854060543394
-0.0199426889378123,-0.0493853496969096,-0.0397040807034626
-0.0388701137115177,-0.041807127900541,-0.0240762644631042
-0.0349178353583876,-0.0552956375093885,-0.041807127900541
-0.042749873195783,-0.0530112931401482,-0.022263292741485
-0.0399216373100569,-0.0461582600324273,-0.0467746704177778
-0.0350991325305496,-0.0481525289262085,-0.0334311985466598
-0.0370571419898984,-0.0490590147870181,-0.023206038036727
-0.0372746985964927,-0.0432937647122688,-0.0267957220455332
-0.0377823306785461,-0.0511620619840965,-0.0408281231708665
-0.0382174438917348,-0.0511620619840965,-0.0403567505232455
-0.0274846512997485,-0.0484788638361,-0.0440189534009165
-0.0360056183913592,-0.0514521374595556,-0.0363682127356831
-0.0238587078565099,-0.0442365100075108,-0.0425323165891887
-0.0423872788514591,-0.0495303874346392,-0.0462670383357244
-0.0372384391620603,-0.0587402837804652,-0.0264331277012093
-0.019072462511435,-0.0452155147371852,-0.042749873195783
-0.0409369014741637,-0.0490227553525858,-0.0318357834316348
-0.0408281231708665,-0.0467384109833454,-0.0256354201436968
-0.0374559957686547,-0.0451067364338881,-0.0245838965451576
-0.0406468259987046,-0.0500742789511249,-0.0373472174653575
-0.0393052269247063,-0.0527574770991215,-0.0455418496470767
-0.03814492502287,-0.0434025430155659,-0.0253453446682378
-0.0440552128353489,-0.0426773543269182,-0.0424235382858915
-0.0224083304792145,-0.0529750337057158,-0.0334311985466598
-0.0474998591064255,-0.049421609131342,-0.0245476371107253
-0.0171869719209509,-0.0485876421393971,-0.0345552410140638
-0.0394140052280035,-0.0532651091811749,-0.0349903542272524
-0.0236048918154832,-0.0433300241467012,-0.0346277598829286
-0.0416983495972438,-0.0552231186405237,-0.0363682127356831
-0.046412076073454,-0.0537364818287959,-0.0379636278507081
-0.0295514390623945,-0.0495666468690715,-0.0217194012249992
-0.0383624816294643,-0.0501830572544221,-0.0386888165393558
-0.0421334628104324,-0.0512345808529613,-0.0422059816792972
-0.0486601610082619,-0.0492403119591801,-0.0467021515489131
-0.0430762081056745,-0.0491677930903153,-0.0307117409642309
-0.0506906893364755,-0.0410456797774609,-0.0277747267752076
-0.0398491184411921,-0.0547154865584703,-0.0284999154638553
-0.03814492502287,-0.0511620619840965,-0.0256716795781292
-0.0294426607590974,-0.0526486987958244,-0.0405017882609751
-0.0230247408645651,-0.0410094203430285,-0.0403930099576779
-0.0467384109833454,-0.0456506279503739,-0.0302766277510422
-0.0478987128851818,-0.0542803733452817,-0.0273758729964514
-0.0447804015239966,-0.0440552128353489,-0.0369846231210336
-0.0414807929906495,-0.0472460430653988,-0.0465933732456159
-0.0210667314052162,-0.0507269487709079,-0.0488051987459914
-0.0444540666141051,-0.0522498450170681,-0.0219732172660259
-0.0240400050286719,-0.056746014886684,-0.0427861326302154
-0.0299502928411508,-0.0538815195665255,-0.0262518305290474
-0.0429674298023773,-0.0431124675401068,-0.0234235946433213
-0.0455781090815091,-0.0521410667137709,-0.0286812126360173
-0.0455781090815091,-0.0440914722697813,-0.0408281231708665
-0.0286449532015849,-0.0522498450170681,-0.0391601891869768
-0.0434025430155659,-0.0527574770991215,-0.0224808493480793
-0.041154458080758,-0.0471010053276693,-0.0315457079561757
-0.0219732172660259,-0.0537364818287959,-0.0403930099576779
-0.0502918355577193,-0.0538815195665255,-0.0429674298023773
-0.0458319251225358,-0.0525399204925272,-0.0263243493979122
-0.0481525289262085,-0.0463758166390216,-0.028282358857261
-0.0345552410140638,-0.0489864959181534,-0.0377823306785461
-0.0424960571547563,-0.0507269487709079,-0.031291891915149
-0.0439464345320517,-0.0500017600822602,-0.0233148163400241
-0.0369483636866012,-0.0514158780251232,-0.0390151514492472
-0.0434025430155659,-0.0478987128851818,-0.0246926748484548
-0.0330323447679036,-0.0413720146873523,-0.0255629012748321
-0.0463032977701568,-0.0460494817291301,-0.0315094485217434
-0.024801453151752,-0.0497116846068011,-0.0304941843576366
-0.0391964486214092,-0.0454330713437796,-0.0389426325803825
-0.0456868873848063,-0.0456506279503739,-0.0433300241467012
-0.0578700573540879,-0.0440914722697813,-0.0369846231210336
-0.0446716232206994,-0.0374559957686547,-0.0441277317042137
-0.0459769628602653,-0.051017024246367,-0.0207403964953247
-0.0328147881613093,-0.0466658921144807,-0.0381811844573024
-0.0448891798272938,-0.0543528922141465,-0.0271220569554247
-0.0313281513495814,-0.0462670383357244,-0.0302041088821775
-0.0413720146873523,-0.0389788920148149,-0.0412994958184876
-0.0228434436924031,-0.0438376562287546,-0.0479349723196142
-0.034482722145199,-0.0491315336558829,-0.0471372647621017
-0.032415934382553,-0.0518509912383119,-0.0434025430155659
-0.0274483918653161,-0.0453605524749148,-0.0391601891869768
-0.0296239579312593,-0.0457956656881034,-0.029406401324665
-0.0423147599825944,-0.0484788638361,-0.0372746985964927
-0.0289712881114763,-0.043873915663187,-0.0446353637862671
-0.0423872788514591,-0.0463395572045892,-0.0366945476455745
-0.0255266418403997,-0.0486239015738295,-0.0241850427664014
-0.0286449532015849,-0.0448891798272938,-0.0390151514492472
-0.0447804015239966,-0.0473910808031284,-0.0415170524250819
-0.0505819110331783,-0.0508719865086374,-0.0218281795282963
