PT1 [Psi],PT2 [Psi],PT3 [Psi]
0,0,0
-0.0326697504235797,-0.0581963922639794,-0.0257804578814264
-0.0387613354082205,-0.0548242648617675,-0.0116030190183635
-0.0423872788514591,-0.0370934014243308,-0.00678051423885617
-0.0618585951416504,-0.0430762081056745,-0.00529387742712834
-0.0357880617847649,-0.0546067082551732,-0.00910111804252886
-0.0407918637364342,-0.0352804297027115,-0.0135610284777123
-0.0564196799767925,-0.05243114218923,-0.02066787762646
-0.0558395290258743,-0.032887307030174,-0.0199789483722446
-0.0390514108836796,-0.0388701137115177,-0.01747704739641
-0.0386525571049234,-0.039740340137895,-0.00177671228718691
-0.0378548495474109,-0.0498204629100982,-0.00529387742712834
-0.0534464063533368,-0.0279560239473695,-0.0223720710447821
-0.0414082741217847,-0.0305667032265013,-0.00572899064031697
-0.0364769910389802,-0.0434388024499983,-0.0054026557304255
-0.0556944912881448,-0.0345915004484962,-0.016353004929006
-0.0588853215181947,-0.0663547650112662,-0.0309655570052576
-0.0549330431650647,-0.0432937647122688,-0.00242938210696986
-0.0543891516485789,-0.0375647740719518,-0.0246926748484548
-0.0407193448675694,-0.0459044439914006,0.000253816041026701
-0.0366220287767098,-0.0361506561290888,-0.0150839247238725
-0.0624387460925685,-0.0481887883606409,-0.00790455670626013
-0.0454330713437796,-0.0368033259488717,-0.00873852369820501
-0.0445628449174023,-0.0524674016236624,-0.0249102314550491
-0.053083812009013,-0.0426048354580534,-0.0043873915663187
-0.0485513827049647,-0.0547154865584703,-0.0232785569055918
-0.0367308070800069,-0.0381811844573024,-0.0134522501744152
-0.0577250196163584,-0.0569273120588459,-0.0225896276513764
-0.0590303592559243,-0.0504006138610164,-0.0191087219458674
-0.0574349441408993,-0.0496754251723687,-0.0185648304293816
-0.0402842316543808,-0.0332136419400655,-0.026686943742236
-0.0349903542272524,-0.0364044721701155,-0.0205590993231628
-0.0575437224441964,-0.0390514108836796,-0.00920989634582602
-0.0424597977203239,-0.0373472174653575,-0.0246564154140224
-0.0347727976206581,-0.0390514108836796,-0.00203052832821361
-0.0508357270742051,-0.0471735241965341,-0.013343471871118
-0.0580876139606822,-0.036549509907845,-0.00261067927913179
-0.0579788356573851,-0.0386888165393558,-0.0143224766007924
-0.0548242648617675,-0.0625837838302981,-0.0246564154140224
-0.0446353637862671,-0.0375647740719518,-0.0291163258492059
-0.0545341893863084,-0.0580513545262498,-0.0250190097583463
-0.0389426325803825,-0.044345288310808,-0.0281373211195315
-0.0363682127356831,-0.0360418778257916,-0.0277384673407752
-0.0370934014243308,-0.0531200714434454,-0.00413357552529199
-0.0426048354580534,-0.0405743071298398,-0.00174045285275452
-0.0427136137613506,-0.0449979581305909,-0.00119656133626874
-0.0559120478947391,-0.0500380195166926,-0.00467746704177778
-0.0364769910389802,-0.0455781090815091,-0.0208491747986219
-0.0407918637364342,-0.0340476089320104,-0.0166430804044651
-0.0445628449174023,-0.0353892080060087,-0.029877773972286
-0.0596830290757072,-0.039087670318112,-0.0250915286272111
-0.0469559675899398,-0.0405743071298398,-0.000471372647621017
-0.0419521656382705,-0.0389788920148149,-0.0311468541774195
-0.0451792553027529,-0.0631276753467839,-0.0248739720206167
-0.0407556043020018,-0.0420972033760001,-0.00663547650112662
-0.0551143403372266,-0.0499655006478278,-0.0222270333070526
-0.0431124675401068,-0.0396315618345978,-0.00562021233701982
-0.0422059816792972,-0.039740340137895,-0.0335762362843894
-0.0381086655884376,-0.0495666468690715,-0.0163892643634384
-0.0435113213188631,-0.0595742507724101,0.00108778303297158
-0.0442002505730784,-0.0454693307782119,-0.00804959444398967
-0.0591753969936538,-0.0469922270243721,-0.0136698067810095
-0.0385800382360586,-0.0331048636367683,-0.0199789483722446
-0.0548242648617675,-0.0422059816792972,-0.00184923115605168
-0.0401391939166512,-0.0397040807034626,-0.0337212740221189
-0.045940703425833,-0.0312556324807167,-0.00616410385350561
-0.0378911089818433,-0.0449979581305909,-0.0111679058051749
-0.0626200432647305,-0.0444903260485375,-0.0211755097085134
-0.0647593498962412,-0.0340476089320104,-0.0025744198446994
-0.051959769541609,-0.0509082459430698,-0.0237499295532128
-0.0649769065028356,-0.039740340137895,0.00079770755751249
-0.049421609131342,-0.0414807929906495,-0.00572899064031697
-0.058631505477168,-0.0568185337555487,-0.000833966991944876
-0.0659196517980776,-0.0409006420397313,-0.0234235946433213
-0.043692618491025,-0.0456868873848063,-0.0146850709451163
-0.0467384109833454,-0.0426048354580534,0.00344464627107666
-0.0408643826052989,-0.0399578967444893,0.00536639629599312
-0.0677326235196969,-0.0443815477452404,-0.0201239861099742
-0.0670799536999139,-0.0360418778257916,-0.00594654724691129
-0.070089486757802,-0.0445265854829699,-0.0202327644132713
-0.0481887883606409,-0.0410456797774609,-0.0241850427664014
-0.0472823024998312,-0.0405380476954075,-0.00808585387842206
-0.0478987128851818,-0.0412269769496228,-0.0030820519267528
-0.0583776894361413,-0.0342289061041723,0.000616410385350561
-0.0598280668134368,-0.0455055902126443,-0.0299865522755832
-0.0578337979196555,-0.0327785287268769,-0.0281373211195315
-0.0506181704676107,-0.0342289061041723,-0.000398853778756245
-0.0525399204925272,-0.03495409479282,-0.0241850427664014
-0.050545651598746,-0.0429311703679449,-0.0185648304293816
-0.0462670383357244,-0.0465933732456159,-0.000942745295242034
-0.0636715668632697,-0.0545341893863084,-0.0210667314052162
-0.0665360621834282,-0.0376372929408166,-0.0210304719707838
-0.0445991043518347,-0.0430399486712421,0.000145037737729544
-0.048297566663938,-0.0440914722697813,-0.0204503210198657
-0.0427136137613506,-0.0408643826052989,-0.00736066518977434
-0.0506544299020431,-0.0360418778257916,-0.0239674861598071
-0.0478987128851818,-0.0325609721202825,-0.0168243775766271
-0.0439101750976193,-0.0384712599327615,-0.0262518305290474
-0.0362231749979535,-0.0421334628104324,-0.000507632082053403
-0.0511258025496641,-0.0437651373598898,-0.0194713162901912
-0.0650856848061327,-0.0364407316045478,-0.0256716795781292
-0.047354821368696,-0.033539976849957,-0.0222270333070526
-0.0617860762727856,-0.0344464627107666,-0.0237499295532128
-0.0431487269745392,-0.0585589866083033,-0.0289712881114763
-0.0465571138111835,-0.0312193730462843,-0.000290075475459087
-0.0474998591064255,-0.0457231468192386,-0.0069618114110181
-0.0574712035753317,-0.0547517459929027,-0.00166793398388975
-0.0510532836807994,-0.0381086655884376,-0.00576525007474936
-0.0452155147371852,-0.0383987410638967,-0.0134522501744152
-0.0492403119591801,-0.0561658639357658,0.0100438633377709
-0.0543166327797141,-0.0424597977203239,-0.0188911653392731
-0.0475723779752903,-0.0523948827547976,-0.00884730200150216
-0.0643967555519174,-0.038616297670491,0.000290075475459087
-0.0459044439914006,-0.0378548495474109,-0.00123282077070112
-0.0391964486214092,-0.0470647458932369,-0.0114579812806339
-0.0621849300515418,-0.0358243212191973,-0.0210304719707838
-0.0472460430653988,-0.0424235382858915,-0.0174045285275452
-0.065303241412727,-0.0387975948426529,-0.0211755097085134
-0.0476811562785875,-0.0372021797276279,0.00435113213188631
-0.0502193166888545,-0.0497842034756659,-0.0186736087326787
-0.0447441420895642,-0.0422422411137296,-0.0134885096088476
-0.0443090288763756,-0.0337212740221189,-0.00518509912383119
-0.0425323165891887,-0.0415895712939466,-0.00971752842787943
-0.0508357270742051,-0.0431849864089716,-0.0321258589070939
-0.0511620619840965,-0.0356792834814677,-0.0233873352088889
-0.0555857129848476,-0.0398491184411921,-0.00467746704177778
-0.0467021515489131,-0.0413357552529199,-0.0163892643634384
-0.0352079108338467,-0.0354617268748734,-0.020486580454298
-0.0474635996719932,-0.0456143685159415,-0.0308930381363928
-0.0591753969936538,-0.0629101187401896,-0.026215571094615
-0.0495303874346392,-0.0422059816792972,-0.0183110143883549
-0.0336850145876865,-0.028935028677044,-0.0164980426667356
-0.0515971751972852,-0.043873915663187,0.0069618114110181
-0.0580513545262498,-0.0364407316045478,-0.0236411512499156
-0.0413720146873523,-0.0455055902126443,-0.000833966991944876
-0.0448529203928614,-0.0463395572045892,-0.0228797031268355
-0.043692618491025,-0.0403567505232455,-0.00844844822274592
-0.0472460430653988,-0.0301678494477451,-0.0226984059546736
-0.053555184656634,-0.0366220287767098,-0.0118205756249578
-0.0439826939664841,-0.0396315618345978,-0.0195800945934884
-0.0635627885599725,-0.0586677649116004,0.000108778303297158
-0.0464845949423187,-0.0397040807034626,-0.0208129153641895
-0.0496391657379363,-0.0534101469189045,-0.0299865522755832
-0.0540990761731198,-0.0362231749979535,-0.0179121606095986
-0.0416983495972438,-0.0390514108836796,-0.0246926748484548
-0.0490952742214505,-0.0426048354580534,-0.0215381040528372
-0.0395953024001654,-0.0404292693921103,-0.00877478313263739
-0.0627288215680276,-0.0573624252720345,0.00239312267253747
-0.061822335707218,-0.0563109016734953,-0.0219369578315935
-0.0387975948426529,-0.046230778901292,-0.0191087219458674
-0.0465933732456159,-0.0377823306785461,-0.0324521938169854
-0.0657746140603481,-0.0531925903123101,-0.0208129153641895
-0.0481162694917761,-0.0342651655386047,-0.0255266418403997
-0.0389788920148149,-0.0397040807034626,0.00239312267253747
-0.0459769628602653,-0.0414445335562171,-0.0260342739224531
-0.0399941561789217,-0.0377460712441137,-0.0203778021510009
-0.0499292412133954,-0.03495409479282,-0.0297689956689888
-0.0615685196661913,-0.0374197363342223,-0.0202690238477037
-0.0362231749979535,-0.0347365381862257,-0.0218281795282963
-0.0434025430155659,-0.0416620901628114,-0.0245838965451576
-0.0420246845071353,-0.0418796467694057,-0.0155552973714936
-0.0373472174653575,-0.0382537033261671,-0.00152289624616021
