PT1 [Psi],PT2 [Psi],PT3 [Psi]
0,0,0
-0.0162442266257089,-0.0212842880118105,-0.0519960289760414
-0.0240400050286719,-0.0210667314052162,-0.0697631518479105
-0.0161354483224117,-0.0212842880118105,-0.0661372084046719
-0.0201239861099742,-0.0217919200938639,-0.0468109298522102
-0.0179121606095986,-0.0257804578814264,-0.06276508100246
-0.0192900191180293,-0.0233148163400241,-0.0511983214185289
-0.0162804860601413,-0.0243663399385633,-0.0480437506229113
-0.0152652218960345,-0.0192900191180293,-0.0562383828046306
-0.0188549059048407,-0.0204503210198657,-0.0439101750976193
-0.0213205474462429,-0.0237499295532128,-0.054679227124038
7.25188688647718e-05,-0.0161354483224117,-0.0620761517482447
-0.0156278162403583,-0.0188549059048407,-0.063417750822243
-0.0126182831824703,-0.0114217218462016,-0.0573261658376021
-0.0140324011253333,-0.0193625379868941,-0.048297566663938
0.0043873915663187,-0.0182022360850577,-0.0732440575534195
-0.0134522501744152,-0.019072462511435,-0.058631505477168
-0.0189999436425702,-0.0166430804044651,-0.0601181422888958
-0.0120018727971197,-0.0151201841583049,-0.0663547650112662
-0.0079770755751249,-0.0187461276015435,-0.0693280386347219
-0.0162804860601413,-0.01747704739641,-0.056564717714522
-0.0169694153143566,-0.022734665389106,-0.0556582318537124
-0.0172594907898157,-0.0168606370110594,-0.0557670101570095
-0.0177671228718691,-0.0249827503239139,-0.0514521374595556
-0.0170419341832214,-0.018419792691652,-0.0712860480940707
-0.0176583445685719,-0.0199426889378123,-0.0578700573540879
-0.0185648304293816,-0.0178396417407339,-0.0624387460925685
-0.020015207806677,-0.0192537596835969,-0.0651219442405651
-0.00213930663151077,-0.0178759011751663,-0.0606620338053816
-0.0241125238975366,-0.0207041370608924,-0.0721925339548804
-0.000725188688647718,-0.0183110143883549,-0.0609883687152731
0.00112404246740396,-0.0267957220455332,-0.0620761517482447
-0.00300953305788803,-0.0195075757246236,-0.0568185337555487
-0.0145762926418191,-0.0278835050785048,-0.0589940998214919
-0.00326334909891473,-0.0256354201436968,-0.0580876139606822
-0.0180571983473282,-0.0188186464704083,-0.041154458080758
-0.0174407879619776,-0.0272670946931542,-0.0510532836807994
-0.0100076039033385,-0.02066787762646,-0.0520322884104738
-0.0105152359853919,-0.0188549059048407,-0.0609883687152731
-0.0147213303795487,-0.0168968964454918,-0.0569273120588459
-0.0165705615356004,-0.0178759011751663,-0.0519235101071766
-0.0194713162901912,-0.0207041370608924,-0.0537727412632283
-0.00844844822274592,-0.0236048918154832,-0.0585227271738709
-0.0217919200938639,-0.0207041370608924,-0.0490952742214505
-0.00598280668134368,-0.0267232031766684,-0.0614597413628941
-0.00456868873848063,-0.0196888728967856,-0.0496391657379363
-0.0056564717714522,-0.0288625098081792,-0.0528299959679863
-0.00148663681172782,-0.00989882560004136,-0.0596830290757072
-0.0165705615356004,-0.0233148163400241,-0.0579063167885203
-0.0144312549040896,-0.0182022360850577,-0.0576525007474936
-0.0171869719209509,-0.0240400050286719,-0.0624387460925685
-0.00768700009966581,-0.0188549059048407,-0.0538815195665255
-0.0217194012249992,-0.00188549059048407,-0.056746014886684
-0.0018129717216193,-0.00493128308280448,-0.0583776894361413
0.00145037737729544,-0.0210667314052162,-0.0679864395607236
-0.0169694153143566,-0.0234235946433213,-0.0521773261482033
-0.0211029908396486,-0.0195800945934884,-0.0545341893863084
-0.0134159907399828,-0.00884730200150216,-0.0553318969438209
-0.000326334909891473,-0.0146125520762515,-0.0617135574039208
-0.00420609439415677,-0.0146850709451163,-0.0508719865086374
-0.0123644671414436,-0.0166430804044651,-0.0547517459929027
-0.0148301086828458,-0.0230972597334298,-0.0559120478947391
-0.0228434436924031,-0.0218644389627287,-0.0688204065526685
-0.00866600482934023,0.00137785850843066,-0.0528662554024187
-0.025744198446994,-0.0178396417407339,-0.0446716232206994
-0.00137785850843066,-0.0166793398388975,-0.0611334064530027
0.00373472174653575,-0.0122556888381464,-0.0466296326800483
-0.0176583445685719,-0.0248377125861844,-0.0607708121086788
-0.00757822179636866,-0.027339613562019,-0.0666085810522929
-0.00790455670626013,-0.02462015597959,-0.0520685478449062
-0.0155552973714936,-0.0262518305290474,-0.0642154583797555
-0.00703433027988287,-0.0214655851839725,-0.0683490339050474
-0.00529387742712834,-0.0267957220455332,-0.0604444771987873
0.00145037737729544,-0.0222995521759173,-0.055150599771659
-0.0149751464205754,-0.00594654724691129,-0.0486239015738295
-0.00163167454945737,-0.0233148163400241,-0.0633089725189458
-0.00018129717216193,-0.0228071842579707,-0.0479349723196142
-0.000543891516485789,-0.0239674861598071,-0.0562746422390629
-0.00594654724691129,-0.0116392784527959,-0.0529387742712834
-0.00518509912383119,-0.0223358116103497,-0.0661009489702395
-0.000616410385350561,-0.0168606370110594,-0.0559845667636039
