PT1 [Psi],PT2 [Psi],PT3 [Psi]
0,0,0
-0.0486601610082619,-0.0548967837306323,-0.0108778303297158
-0.0576525007474936,-0.0505819110331783,-0.00826715105058399
-0.0393777457935711,-0.0394502646624359,-0.0140686605597657
-0.0360056183913592,-0.0553318969438209,-0.0174045285275452
-0.054969302599497,-0.0360056183913592,0.00239312267253747
-0.0476086374097227,-0.052612439361392,-0.012872099223497
-0.0353529485715763,-0.0504731327298812,-0.0114217218462016
-0.0343376844074695,-0.0418796467694057,-0.0159904105846822
-0.050545651598746,-0.0309292975708252,-0.00830341048501637
-0.0382174438917348,-0.0339388306287132,-0.015410259633764
-0.0413720146873523,-0.0362956938668183,-0.01033393881323
-0.0469197081555074,-0.0542441139108493,-0.00877478313263739
-0.0391239297525444,-0.0591391375592214,-0.00373472174653575
-0.0340476089320104,-0.0343376844074695,-0.00645417932896469
-0.0412994958184876,-0.0522861044515005,-0.00311831136118519
-0.0375285146375194,-0.0386525571049234,-0.00939119351798795
-0.0358605806536297,-0.0353166891371439,-0.0105514954198243
-0.0486964204426943,-0.0394502646624359,-0.0136698067810095
-0.0453242930404824,-0.0575074630097641,-0.0110953869363101
-0.0544254110830113,-0.0544254110830113,-0.0113129435429044
-0.0342289061041723,-0.0404292693921103,-0.0147213303795487
-0.0601544017233282,-0.0309655570052576,-0.0141411794286305
-0.0352079108338467,-0.0527212176646891,-0.0166793398388975
-0.034011349497578,-0.0575799818786288,-0.00949997182128511
-0.0306754815297985,-0.0634902696911077,0.000833966991944876
-0.0480800100573437,-0.0599731045511663,-0.0174407879619776
-0.0405017882609751,-0.0407556043020018,-0.00891982087036693
-0.0422059816792972,-0.0434750618844307,-0.0173320096586805
-0.0401754533510836,-0.0523948827547976,-0.0146125520762515
-0.0358605806536297,-0.0379273684162757,-0.00794081614069251
-0.0423147599825944,-0.0661009489702395,-0.0100801227722033
-0.0352079108338467,-0.0448529203928614,-0.018129717216193
-0.0274121324308838,-0.0522861044515005,-0.00837592935388115
-0.0361143966946564,-0.052612439361392,-0.0109866086330129
-0.0379636278507081,-0.0440914722697813,-0.0176220851341396
-0.0369121042521689,-0.0449616986961585,-0.00297327362345564
-0.0434388024499983,-0.0587765432148976,-0.0150839247238725
-0.0367670665144393,-0.0337575334565513,-0.0106240142886891
-0.0325247126858502,-0.0577975384852231,-0.00413357552529199
-0.034011349497578,-0.0516334346317175,-0.0106602737231215
-0.0507269487709079,-0.0424597977203239,-0.0109503491985805
-0.0393414863591387,-0.0548605242961999,-0.018129717216193
-0.0401029344822188,-0.0542441139108493,-0.00348090570550905
-0.0364044721701155,-0.0584502083050061,-0.0130533963956589
-0.041625830728379,-0.0586677649116004,-0.00794081614069251
-0.0352079108338467,-0.0503280949921516,-0.0112404246740396
-0.0379636278507081,-0.0575074630097641,-0.0123644671414436
-0.0342289061041723,-0.0537727412632283,-0.01033393881323
-0.0361143966946564,-0.0515246563284204,-0.00678051423885617
